Partner Name,Customer Account Name,Workload Name,Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD)
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h39BLQAY/view"", ""Comercializadora Zenta Group SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h6EEyQAM/view"", ""Clupp"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WDZNOA4/view"", ""INSURANCEBOOSTERS#GE#Agents Connectors"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OeuP5IAJ/view"", ""INSURANCEBOOSTERS#GE#Agents"")",,Mexico,MX DN,Build with AI,0-2: Tech Eval/Solution Dev,2026-09-30,2026-09-30,"20,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h39BLQAY/view"", ""Comercializadora Zenta Group SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hhAxmQAE/view"", ""TOTEAT S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eQH2OAM/view"", ""Toteat - MongDB migration to GCP WL"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OrSnEIAV/view"", ""Toteat - MongDB migration to GCP"")",,Corporate,MCO CORP SUR,Migrate and Modernize Databases,0-2: Tech Eval/Solution Dev,2026-09-14,2026-10-30,"30,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h39BLQAY/view"", ""Comercializadora Zenta Group SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoLA9QAM/view"", ""Empresas SB"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZMiVOAW/view"", ""GE - Empresas SB (Salcobrand & Preunic)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000N5qm0IAB/view"", ""Data & Analytics - GCP - Empresas SB + GE Zenta"")",,MCO,Chile,Build with AI,0-2: Tech Eval/Solution Dev,2026-10-01,2026-10-02,"140,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h39BLQAY/view"", ""Comercializadora Zenta Group SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001oip14QAA/view"", ""Fintoc SpA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZKzGOAW/view"", ""Data & Analytics agents"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PVWclIAH/view"", ""Iniciativas Data & Analitycs Fintoc"")",,Corporate,MCO CORP SUR,Analytics,3:  Proposal / Negotiation,2026-08-14,2026-09-30,"88,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h39BLQAY/view"", ""Comercializadora Zenta Group SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hYQNvQAO/view"", ""Corporación Grupo Romero"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eGqCOAU/view"", ""Gemini Enterprise Primax 2026"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OJTpbIAH/view"", ""GE Primax 2026"")",,MCO,EM (PE/EC),Build with AI,0-2: Tech Eval/Solution Dev,2026-11-13,2026-11-20,"162,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h39BLQAY/view"", ""Comercializadora Zenta Group SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRzpLQAS/view"", ""ORAND S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W80SOAS/view"", ""SafeSigner - WL Mig. DataDog + Crec. 2026 - Zenta"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OegY3IAJ/view"", ""SafeSigner - Migracion DataDog + Crecimiento 2026 - Zenta"")",,Corporate,MCO CORP SUR,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-08-31,2026-12-03,"60,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h39BLQAY/view"", ""Comercializadora Zenta Group SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiIcNQAU/view"", ""Asesoría DOX Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W6gMOAS/view"", ""Asesoria DOX Spa #OUT #GCVE"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OJLEVIA5/view"", ""Asesoria DOX Spa #OUT #GCE"")",,Corporate,MCO CORP SUR,Migrate Modernize and Build,3:  Proposal / Negotiation,2026-11-09,2026-12-07,"30,324.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h39BLQAY/view"", ""Comercializadora Zenta Group SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kiWhIQAU/view"", ""Racional S.p.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eD2OOAU/view"", ""Gemini Enterprise Racional"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OealcIAB/view"", ""Racional S.p.A. #GCP #INB #GeminiEnterprise"")",,Corporate,MCO CORP SUR,Build with AI,0-2: Tech Eval/Solution Dev,2026-10-22,2026-12-23,"10,850.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h39BnQAI/view"", ""Option Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htuQPQAY/view"", ""AD Retail S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eCjVOAU/view"", ""Abc - Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000L4L9kIAF/view"", ""Abc S.A.-Renewal-Vertex AI Spark Linear-2026"")",,MCO,Chile,Build with AI,3:  Proposal / Negotiation,2026-05-18,2026-10-01,"30,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h39BLQAY/view"", ""Comercializadora Zenta Group SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRPLmQAO/view"", ""LATAM Airlines Group SA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eC9oOAE/view"", ""[LATAM] - DA - Compass"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000dAgkbQAC/view"", ""LATAM Airlines 2023 87M/3Y Recommit"")",,MCO,Chile,Analytics,4.2: Ramping / Deliver,2026-01-05,2026-08-31,"300,000.00"
