Partner Name,Customer Account Name,Workload Name,Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD)
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMjsHQAS/view"", ""CIAL - Consorcio Industrial de Alimentos S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZN3hOAG/view"", ""Cial Commit 2026"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PYLE0IAP/view"", ""Cial Commit 2026"")",,Corporate,MCO CORP SUR,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-09-25,2026-10-23,"100,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htvUVQAY/view"", ""Gasco GLP S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZLEaOAO/view"", ""[Gasco] - DM - Self-managed MongoDB to Firestore Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OYnxJIAT/view"", ""[Gasco] - New Commit 2026"")",,MCO,Chile,Migrate and Modernize Databases,0-2: Tech Eval/Solution Dev,2026-10-22,2026-12-31,"240,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hReHaQAK/view"", ""Empresa Nacional de Energia Enex S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZLF4OAO/view"", ""Enex Licencias de GE"")",,,Corporate,MCO CORP SUR,Build with AI,0-2: Tech Eval/Solution Dev,2026-10-23,2026-11-20,"40,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002MvX7JQAV/view"", ""ENTEL CALL CENTER S A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZKzkOAG/view"", ""IA segura y Logs"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cshY7QAI/view"", ""Devaid SPA / $786,826 TCV / 3 YR"")",,MCO,Chile,Security,4.2: Ramping / Deliver,2026-07-20,2026-08-31,"38,400.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002MvX7JQAV/view"", ""ENTEL CALL CENTER S A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kJ3MOAU/view"", ""[Entel Contact Center] - AI Implementación Agentes"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cshY7QAI/view"", ""Devaid SPA / $786,826 TCV / 3 YR"")",,MCO,Chile,Build with AI,0-2: Tech Eval/Solution Dev,2026-08-28,2026-09-17,"63,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002MvX7JQAV/view"", ""ENTEL CALL CENTER S A"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZHwOOAW/view"", ""[Entel contact Center] - AI - Análisis de audios fase expansion 3"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cshY7QAI/view"", ""Devaid SPA / $786,826 TCV / 3 YR"")",,MCO,Chile,Analytics,4.2: Ramping / Deliver,2026-06-30,2026-08-25,"75,828.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoZGwQAM/view"", ""Abastible S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZHJaOAO/view"", ""Abastible Dataplex - Devaid"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PHePgIAL/view"", ""Abastible Dataplex - Devaid"")",,MCO,Chile,Analytics,0-2: Tech Eval/Solution Dev,2026-10-01,2026-11-30,"90,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001htvUVQAY/view"", ""Gasco GLP S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kHPpOAM/view"", ""Migracion AWS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OYnxJIAT/view"", ""[Gasco] - New Commit 2026"")",,MCO,Chile,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-09-01,2027-01-01,"300,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hu4UaQAI/view"", ""Sociedad Austral de Electricidad S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZDyzOAG/view"", ""Fotografias Medidores SAESA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Omp5KIAR/view"", ""Aceleracion procesos fotografia AI"")",,Corporate,MCO CORP SUR,Storage,4.3: Migrated/Implemented,2026-05-01,2026-06-30,"15,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hMjsOQAS/view"", ""Claro Chile S.A."")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W8JjOAK/view"", ""[ClaroVTR] Migración de AWS a GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KrDa6IAF/view"", ""Claro Chile - New data migration from Oracle (Commit 2026) #SalesCreditPOC"")","ER-498957, ER-496249",MCO,Chile,Analytics,3:  Proposal / Negotiation,2026-11-01,2027-03-01,"165,000.00"
