Partner:,Comercializadora Zenta Group SPA,,,Last Update:,28 - Aug 2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Alert Criteria:,Target Go-Live risk for active pipeline (Stages 0-2 & 3),,🔴 Critical (≤14d / Overdue),🌸 High (15-30d),🟡 Medium (31-45d),,⚪ Normal (>45d / Stage 4+),,,,,,,,,,
,,,,,,,,,,,,,,,,,
Customer Account Name,Account Tier,Workload Name,Workload Owner,Workload Progress,Capacity Status (DRP Readiness),Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Sales Play,Workload Solution,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD),Last Touch,Link
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kNF4dQAG/view"", ""Vita Wallet"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WEOaOAO/view"", ""Vita Wallet Gemini Enterprise"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004WNrjQAG/view"", ""Agustina Maria Cano"")",0-2: Tech Eval/Solution Dev,🟢 Ready (2 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PiuRtIAJ/view"", ""Vita Wallet #OUT #Gemini Enterprise"")",,Corporate,MCO CORP SUR,Build with AI,Lead the Agentic Workplace Transformation (Gemini Enterprise),Gemini Enterprise,2026-11-23,2026-12-21,"$5,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kiWhIQAU/view"", ""Racional S.p.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eRjbOAE/view"", ""RACIONAL S.P.A OUT GeminiEnterprise GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002OXB9IAO/view"", ""Jilver Tyson Fuentes"")",0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PiisTIAR/view"", ""RACIONAL S.P.A  OUT GeminiEnterprise GCP"")",,Corporate,MCO CORP SUR,,,,2026-09-30,2026-10-31,"$7,200.00","Recien aproximando, son clientes claude, pero quieren avanzar, con paula del cliente. para ver un caso de uso agentico. Estamos esperando fecha.",
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h6EEyQAM/view"", ""Clupp"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WDZNOA4/view"", ""INSURANCEBOOSTERS#GE#Agents Connectors"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002p4KLIAY/view"", ""Luis Alonso Contreras"")",0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OeuP5IAJ/view"", ""INSURANCEBOOSTERS#GE#Agents"")",,Mexico,MX DN,Build with AI,Scale AI Apps and Agents,Not a Solution,2026-09-30,2026-09-30,"$20,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hhAxmQAE/view"", ""TOTEAT S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eQH2OAM/view"", ""Toteat - MongDB migration to GCP WL"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000001xICLIA2/view"", ""Patricio Perez"")",0-2: Tech Eval/Solution Dev,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OrSnEIAV/view"", ""Toteat - MongDB migration to GCP"")",,Corporate,MCO CORP SUR,Migrate and Modernize Databases,"Migrate, Modernize, and Build with Data Cloud (Databases)","Move to Managed Databases (Homogeneous - Cloud SQL, AlloyDB, Firestore)",2026-09-14,2026-10-30,"$30,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001oip14QAA/view"", ""Fintoc SpA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZKzGOAW/view"", ""Data & Analytics agents"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000002PQLOIA4/view"", ""Felipe Albertini"")",4.2: Ramping / Deliver,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PVWclIAH/view"", ""Iniciativas Data & Analitycs Fintoc"")",,Corporate,MCO CORP SUR,Analytics,The Agentic Data Cloud,Data Agents & Tooling,2026-08-14,2026-09-30,"$88,000.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiIcNQAU/view"", ""Asesoría DOX Spa"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W6gMOAS/view"", ""Asesoria DOX Spa #OUT #GCVE"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/0054M000004WNrjQAG/view"", ""Agustina Maria Cano"")",3:  Proposal / Negotiation,🔴 Capacity Gap (0 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OJLEVIA5/view"", ""Asesoria DOX Spa #OUT #GCE"")",,Corporate,MCO CORP SUR,Migrate Modernize and Build,Enterprise Platform of Choice: VMWare,VMware Engine,2026-11-09,2026-12-07,"$30,324.00","HAciendo un cambio en la calculadora. Debe pasar en q4. Potencial comit. Techinal win casi, quiere agregar algunas cosas de seguridad",
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hhAxmQAE/view"", ""TOTEAT S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tcwjOAA/view"", ""Toteat - Gemini Enterprise WL"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000001xICLIA2/view"", ""Patricio Perez"")",0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NSdFZIA1/view"", ""Toteat - Gemini Enterprise"")",,Corporate,MCO CORP SUR,Build with AI,,,2026-08-31,2026-09-14,"$68,400.00",,
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hh5LgQAI/view"", ""SimpliRoute"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009tcwUOAQ/view"", ""SimpliRoute - Gemini Enterprise WL"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/User/005Kf000001xICLIA2/view"", ""Patricio Perez"")",0-2: Tech Eval/Solution Dev,🟢 Ready (3 DRP Profiles),"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NSd9bIAD/view"", ""SimpliRoute - Gemini Enterprise"")",,Corporate,MCO CORP SUR,Build with AI,,,2026-09-01,2026-09-25,"$46,800.00",,
