Partner Name,Customer Account Name,Account Tier,Workload Name,Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD)
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoLAdQAM/view"", ""Codelco"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kHoaOAE/view"", ""[Codelco] Gemini Enterprise for SAP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000JBijlIAD/view"", ""Codelco - Gemini Enterprise"")",,MCO,Chile,Build with AI,0-2: Tech Eval/Solution Dev,2026-06-15,2026-07-06,0.00
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf00001F8x8OIAR/view"", ""Pontificia Universidad Católica de Chile"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZGelOAG/view"", ""WL PUC | GEA 5K seats | 400K ARR | 3Y | TIVIT"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PGjn5IAD/view"", ""PUC | GEA 5K seats + AI Datalake | 500K ARR | 3Y | TIVIT"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf0000004R26KAE/view"", ""ER-504643"")",PS,MCO PS,Build with AI,3:  Proposal / Negotiation,2026-09-04,2026-09-24,"400,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf00001F8x8OIAR/view"", ""Pontificia Universidad Católica de Chile"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZGegOAG/view"", ""WL PUC | AI Datalake | 100K ARR | 3Y | TIVIT"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PGjn5IAD/view"", ""PUC | GEA 5K seats + AI Datalake | 500K ARR | 3Y | TIVIT"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000oREUKA2/view"", ""ER-486958"")",PS,MCO PS,Analytics,3:  Proposal / Negotiation,2026-09-04,2026-09-24,"100,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000011VniHIAS/view"", ""Mercado Publico"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZF6ROAW/view"", ""WL Mercado Publico | DC Exit | 1M ARR | 2Y | TIVIT"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PEcH1IAL/view"", ""Mercado Publico | DC Exit | 1M ARR | 2Y | TIVIT"")","ER-498245, ER-488623, ER-491295",PS,MCO PS,Migrate Modernize and Build,4.3: Migrated/Implemented,2026-06-30,2026-06-30,"1,000,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000011VniHIAS/view"", ""Mercado Publico"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kEeNOAU/view"", ""WL: Mercado Publico | Data | iACV: 100K | TCV: 1.8M / 18M"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PEcH1IAL/view"", ""Mercado Publico | DC Exit | 1M ARR | 2Y | TIVIT"")",,PS,MCO PS,Analytics,4.2: Ramping / Deliver,2026-04-06,2026-09-30,"100,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hboG9QAI/view"", ""Watt's S.A."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082OikOAE/view"", ""SAP MIgracion GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NwImSIAV/view"", ""Watts - New Commit 900k 3Yrs #SAP CAP"")",,MCO,Chile,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-11-30,2027-01-31,"150,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoKHfQAM/view"", ""Embotelladora Andina SA"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009ojIrOAI/view"", ""SAP Modernization"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KqW7fIAF/view"", ""KoAndina - Recommit SAP #SAP CAP #GCBDR"")",,MCO,Chile,Migrate Modernize and Build,4.3: Migrated/Implemented,2026-04-06,2026-06-30,"800,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hboG9QAI/view"", ""Watt's S.A."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf0000082LFGOA2/view"", ""WATTS MIGRACION ONPREM A GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NwImSIAV/view"", ""Watts - New Commit 900k 3Yrs #SAP CAP"")",,MCO,Chile,Migrate Modernize and Build,3:  Proposal / Negotiation,2026-11-30,2027-01-30,"130,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hgtNQQAY/view"", ""Masisa S.A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MbB8OAK/view"", ""Migration to GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000JOMnGIAX/view"", ""Masisa S.A - Infrastructure (Tivit)#SAPCAP"")","ER-426368, ER-413372",MCO,Chile,Migrate Modernize and Build,4.2: Ramping / Deliver,2026-02-27,2026-09-30,"370,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoZGwQAM/view"", ""Abastible S.A."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009oWIrOAM/view"", ""Agentspace"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000JfQ4dIAF/view"", ""Abastible - Agentspace #150 seats"")",,MCO,Chile,Build with AI,4.3: Migrated/Implemented,2025-07-10,2025-08-01,"52,250.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoZGwQAM/view"", ""Abastible S.A."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MZ5cOAG/view"", ""Abastible - SAP Migration to GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cegGLQAY/view"", ""Abastible S.A./ $4.4M TCV/3YRS#SAPCAP"")",,MCO,Chile,Migrate Modernize and Build,4.3: Migrated/Implemented,2025-10-24,2026-02-01,"100,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoZGwQAM/view"", ""Abastible S.A."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000006MZ16OAG/view"", ""GCVE Solgas"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000cegGLQAY/view"", ""Abastible S.A./ $4.4M TCV/3YRS#SAPCAP"")","ER-440188, ER-454490",MCO,Chile,Migrate Modernize and Build,4.3: Migrated/Implemented,2025-10-13,2025-10-20,"192,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hgtNQQAY/view"", ""Masisa S.A"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009oTvHOAU/view"", ""[Masisa] - DM - SQL Server, MySQL, PostgreSQL Modernization to PaaS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KZPh1IAH/view"", ""[Masisa] - DM - SQL Server, MySQL, PostgreSQL Modernization to PaaS"")","ER-387963, ER-467909",MCO,Chile,Migrate and Modernize Databases,3:  Proposal / Negotiation,2027-01-28,2027-06-30,"80,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""Tivit Chile Tercerizacion De Procesos, Servicios Y Tecnologia Spa"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoLAdQAM/view"", ""Codelco"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009t1wTOAQ/view"", ""[Codelco] SAP Historico"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Kh8reIAB/view"", ""SAP Historico Codelco - Tivit"")","ER-426186, ER-428553, ER-463172",MCO,Chile,Migrate Modernize and Build,4.3: Migrated/Implemented,2026-06-30,2026-07-31,"249,000.00"
