Partner Name,Customer Account Name,Account Tier,Workload Name,Opportunity Name,Expert Requests,Customer Sub Region,Customer Micro Region,Primary Workload Pillar,Workload Progress,Begin Migration Date,Production Date,Annual Gross Revenue (ARR USD)
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRudBQAS/view"", ""Tenpo SpA"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZNxQOAW/view"", ""BQ para Banking"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Oo2JEIAZ/view"", ""Tenpo Banking Infraestructure"")",,Corporate,MCO CORP SUR,Analytics,4.3: Migrated/Implemented,2026-07-01,2026-07-30,"180,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hp5OIQAY/view"", ""FARMATODO COLOMBIA S A"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZNanOAG/view"", ""Farmatodo Colombia - Backend Multicountry AlloyDB"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KYRcEIAX/view"", ""Farmatodo Colombia - Backend Multicountry AlloyDB #DMTOOLKIT"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf0000004QvKKAU/view"", ""ER-504405"")",MCO,Colombia,Migrate and Modernize Databases,0-2: Tech Eval/Solution Dev,2026-12-15,2027-01-28,"50,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRPLjQAO/view"", ""Centro de Compensacion Automatizado S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZN9fOAG/view"", ""Gemini Enterprise CCA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OmosBIAR/view"", ""Gemini Enterprise CCA"")",,Corporate,MCO CORP SUR,Build with AI,0-2: Tech Eval/Solution Dev,2026-10-15,2026-11-30,"51,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf00000wivDzIAI/view"", ""Nova Andino Litio S.p.A."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZN16OAG/view"", ""[Novandino] GDC for AI (Gemma)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000N56DEIAZ/view"", ""SQM Litio (Novandino) - Digital Transformation"")",,MCO,Chile,"GDC, Sovereign",0-2: Tech Eval/Solution Dev,2026-12-14,2027-04-30,"250,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M0000202KgkQAE/view"", ""KOBA Colombia SAS"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WDA3OAO/view"", ""D1 - Proyectos nativos GCP"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000JLh4UIAT/view"", ""KOBA Colombia SAS/ $1,546,000 TCV/3 YR"")",,MCO,Colombia,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-09-15,2026-11-30,"100,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiqrTQAQ/view"", ""Intercorp Peru Ltd."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZMrLOAW/view"", ""SIP - Agora migration and launch for finance phase 2"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000KhdhEIAR/view"", ""Financiera Oh Agora Migration (Finance)"")",,MCO,EM (PE/EC),Migrate Modernize and Build,4.1: Pre Ramp / Mobilize,2026-08-04,2026-11-27,"72,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hulsXQAQ/view"", ""EMPRESA DE TELECOMUNICACIONES DE BOGOTA S A ESP"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eOgyOAE/view"", ""ETB - Skynet Whitelabel"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Jf3JSIAZ/view"", ""ETB - Infrastructure Migration & Workspace takeover Standard"")",,Corporate,MCO CORP NORTE,Migrate Modernize and Build,3:  Proposal / Negotiation,2026-10-07,2026-10-29,"180,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001httsZQAQ/view"", ""GTD Grupo Teleductos S.A."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kK54OAE/view"", ""GTD - Agents Integrations"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000crl2cQAA/view"", ""GTD Commit FY25"")",,MCO,Chile,Build with AI,0-2: Tech Eval/Solution Dev,2026-09-18,2026-10-16,"132,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001heSbZQAU/view"", ""Minsur S.A."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eOA9OAM/view"", ""Data Analytics 2026 - MDE"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PYCBMIA5/view"", ""[Minsur  - Marcobre] Data Analytics PoC with MDE"")",,MCO,EM (PE/EC),Analytics,0-2: Tech Eval/Solution Dev,2026-11-16,2026-12-18,"165,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiqrTQAQ/view"", ""Intercorp Peru Ltd."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZLMtOAO/view"", ""Financiera OH - Oracle @ GCP - Golden Gate"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PWDqMIAX/view"", ""Financiera OH - Oracle @ GCP - Golden Gate"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf0000004OYJKA2/view"", ""ER-498849"")",MCO,EM (PE/EC),Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-11-18,2026-12-31,"48,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h4OWYQA2/view"", ""Intersurance Insurance Company"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZL0JOAW/view"", ""Modernización codebase legacy"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000Kh4TnIAJ/view"", ""COMMIT INTERSURANCE KYNDRYL PERU S.A.C.,/$6.6 M TCV/5 Yr"")",,MCO,EM (PE/EC),Migrate Modernize and Build,4.1: Pre Ramp / Mobilize,2026-07-20,2026-08-31,"35,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiqrTQAQ/view"", ""Intercorp Peru Ltd."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZJDHOA4/view"", ""Financiera OH - Oracle DB Migration  to AlloyDB (Axmos)"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000POqZqIAL/view"", ""Financiera OH - Oracle DB Migration  to AlloyDB (Axmos)"")",,MCO,EM (PE/EC),Migrate and Modernize Databases,0-2: Tech Eval/Solution Dev,2026-11-18,2027-01-12,"90,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hoQ67QAE/view"", ""autopistacentral.cl"")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009WApNOAW/view"", ""Autopista Central - WL SAP Directo - AXMOS"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PMm40IAD/view"", ""SAP on GCP for Autopista Central"")",,Corporate,MCO CORP SUR,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-10-11,2027-03-18,"1,800,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001httsZQAQ/view"", ""GTD Grupo Teleductos S.A."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009kIOTOA2/view"", ""GTD - Gemini Models"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/0064M00000crl2cQAA/view"", ""GTD Commit FY25"")",,MCO,Chile,Build with AI,0-2: Tech Eval/Solution Dev,2026-10-03,2027-03-01,"196,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRPLjQAO/view"", ""Centro de Compensacion Automatizado S.A."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZHurOAG/view"", ""vmware nodes + virtual non stop"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000PMmdYIAT/view"", ""Switch Transaccional CCA"")",,Corporate,MCO CORP SUR,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-10-22,2026-12-18,"250,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hqUYyQAM/view"", ""Intercorp Peru Ltd."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZH0iOAG/view"", ""Eficiencia Operacional con GenAI"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000P5bmFIAR/view"", ""LA TINKA S.A"")",,MCO,EM (PE/EC),Build with AI,0-2: Tech Eval/Solution Dev,2026-09-14,2026-11-20,"485,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hiRKRQA2/view"", ""CAJA DE COMPENSACION FAMILIAR CAFAM"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W92POAS/view"", ""Gemini Enterprise CAFAM"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OekiMIAR/view"", ""Gemini Enterprise CAFAM"")",,MCO,Colombia,Build with AI,4.1: Pre Ramp / Mobilize,2026-08-01,2026-12-31,"256,188.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002S4aPIQAZ/view"", ""Antares Aduanas S.A.C."")",2,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009W8UDOA0/view"", ""Antares Aduanas S.A.C #GCP # Modernizar aplicaciones"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000OK2RIIA1/view"", ""Antares Aduanas S.A.C #GCP # Modernizar aplicaciones#MCO #Outbound"")",,Corporate,MCO CORP CCA,Migrate Modernize and Build,0-2: Tech Eval/Solution Dev,2026-07-30,2026-08-31,"80,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001s98VtQAI/view"", ""Danper"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000009eGqWOAU/view"", ""Migración DB"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000NSfARIA1/view"", ""Commit Danper 2026 3y-100K"")",,MCO,EM (PE/EC),Migrate and Modernize Databases,3:  Proposal / Negotiation,2026-08-20,2026-11-20,"60,000.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001hRPMWQA4/view"", ""Cencosud S.A."")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZDaxOAG/view"", ""[Cencosud] - Oracle DataBase@Google Cloud - Exadata  - Marketplace #Oracle"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000N4mdsIAB/view"", ""Cencosud - Recommit Q1 2026 #microsoft"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf000000PTVOKA4/view"", ""ER-478971"")",MCO,Chile,Migrate Modernize and Build,4.2: Ramping / Deliver,2026-08-08,2026-10-30,"292,728.00"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001s98VtQAI/view"", ""Danper"")",1,"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Workload__c/aBJKf000004ZDZ6OAO/view"", ""Danper - Migracion SQL Server to AlloyDB"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Opportunity/006Kf00000P9UHyIAN/view"", ""Danper - Migracion SQL Server to AlloyDB"")","=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Expert_Request__c/aAuKf0000004G1HKAU/view"", ""ER-478660"")",MCO,EM (PE/EC),Migrate and Modernize Databases,0-2: Tech Eval/Solution Dev,2026-09-30,2026-11-20,"18,364.00"
