Partner Name,Country / Headquarters,Partner Advantage Track,Uncommitted Tier 2 & 3 Workloads (#),Total Pipeline ARR ($ USD),DRP Profile Capacities (#),Active Accreditations / Certs (#),Partner Action Tracker Spreadsheet
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h39BLQAY/view"", ""Comercializadora Zenta Group SPA"")",Chile,Premier,24,"1,468,432.00",16,36,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1xG-27ye3Wk4ob9nr3N08KP2a1ufaPRCxAP4o93NKj1Q/edit#gid=0"", ""Open Partner Tracker ↗"")"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002JmizDQAR/view"", ""Tech Pulse SPA (Axmos)"")",Chile,Premier,21,"4,102,000.00",141,117,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1qWdLgRDmHG9wMGjiOZ1fJvj4AmHbfKwrBPpuV8r2uwI/edit#gid=0"", ""Open Partner Tracker ↗"")"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h38aiQAA/view"", ""Devaid SPA"")",Chile,Premier,24,"2,190,088.00",47,15,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1UqYI0iTbxFL1f8ohC3e-uMQCD2we_8Ne3ODmDjnT8U8/edit#gid=0"", ""Open Partner Tracker ↗"")"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002M7lcJQAR/view"", ""UCLOUD STORE COLOMBIA S A S"")",Colombia,Premier,13,"547,277.84",0,8,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1yOtNpVu8O8QQFeRx96s8TmgUtKcXAHYBdsoiZSmnSOI/edit#gid=0"", ""Open Partner Tracker ↗"")"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001kxZPMQA2/view"", ""TIVIT COLOMBIA S A S"")",Colombia / Regional,Premier,1,"80,000.00",67,44,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1nUwpOaqhvpBmVoEb7i_M3C18jhmrJ7bQ1mrfwyXo02o/edit#gid=0"", ""Open Partner Tracker ↗"")"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001uFlbSQAS/view"", ""VPN Soluçoes em TI LTDA (Venha para Nuvem)"")",Brazil,Premier,57,"4,299,509.40",41,29,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1zcIQXnDbrR_WRhciVOD0XCN8RXK0_gHT0MUSExcqBbo/edit#gid=0"", ""Open Partner Tracker ↗"")"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00002GGNRCQA5/view"", ""MadeinWeb S/A"")",Brazil,Premier,30,"4,626,578.36",20,7,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1K2_rFQ5tFMvvk_DnRNxbg3iJ9ZP-MkXtrrcuo04qTOI/edit#gid=0"", ""Open Partner Tracker ↗"")"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/0014M00001h35nAQAQ/view"", ""CU2 CLOUD TEC STORE SL"")",Regional / Spain & LATAM,Premier,12,"997,852.00",207,28,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1oPv0eexAbvaP_sGQx70X8gEiooR9dXCFuFv1QDFhUew/edit#gid=0"", ""Open Partner Tracker ↗"")"
"=HYPERLINK(""https://vector.lightning.force.com/lightning/r/Account/001Kf000013fuVXIAY/view"", ""Consiti (Consultoría y Soluciones Informáticas)"")",El Salvador / Central America,Premier,0,0.00,5,6,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1jsiE3qCJxv5EnxnKJzBdoNFOENc1HA8TdlEXGgnUelo/edit#gid=0"", ""Open Partner Tracker ↗"")"
TOTAL (All 9 Partners),-,-,182,"18,311,737.60",544,290,-
