PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Abacus Cambridge Partners | Partner Engineer: Luna Longo | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 23 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),3,"$291,800.00",2,"$600,000.00",1,"$60,000.00",6,"$951,800.00",85.7%,Build with AI,"$158,633.33",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),1,"$25,500.00",0,$0.00,0,$0.00,1,"$25,500.00",14.3%,Developer AI Assistance,"$25,500.00",Front-Loaded,Active Progression
TOTAL WORKLOAD MOVEMENTS,4,"$317,300.00",2,"$600,000.00",1,"$60,000.00",7,"$977,300.00",100.0%,-,"$139,614.29",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001p92jAQAQ"", ""Bermuda Monetary Authority"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf0000082K18OAE"", ""BMA Additional GE Licenses"")","$25,500.00",Stage 3 ➔ Stage 4.1,July,2026-07-02,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Mauro Miyake,Developer AI Assistance,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PjH7tIAF"", ""BMA Ammendment: 150 GE Std to Plus + 100 GE Plus"")",0014M00001yT1CLQA0,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002TMC20QAH"", ""Department of Immigration of Bermuda"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf0000082LKkOAM"", ""Department of Immigration: new Core System"")","$100,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-09,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Mauro Miyake,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000N5ZVGIA3"", ""Department of Immigration: new Core System (WL)"")",0014M00001yT1CLQA0,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hgnXEQAY"", ""VM Group Limited"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZCHWOA4"", ""VM Group - Infrastructure Modernization"")","$100,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-12,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Leonardo Rusinque,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000JOVBkIAP"", ""VM Group - Infrastructure Modernization"")",0014M00001yT1CLQA0,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002RPFPsQAP"", ""Ministry of Public Administration and Artificial Intelligence"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf0000082Nu6OAE"", ""Gemini Enterprise: MPA AI"")","$91,800.00",Stage 0-2 ➔ Stage 3,July,2026-07-20,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Mauro Miyake,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000N5iuVIAR"", ""MPA AI: Gemini Enterprise (OF/WL)"")",0014M00001yT1CLQA0,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002RPFPsQAP"", ""Ministry of Public Administration and Artificial Intelligence"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf0000082LKuOAM"", ""MPA AI - Citizen Services Mgt Platform RFP"")","$300,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-24,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Mauro Miyake,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000N5ZWYIA3"", ""MPA AI - Citizen Services Mgt Platform RFP (WL)"")",0014M00001yT1CLQA0,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002RPFPsQAP"", ""Ministry of Public Administration and Artificial Intelligence"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf0000082LKuOAM"", ""MPA AI - Citizen Services Mgt Platform RFP"")","$300,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-24,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Mauro Miyake,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000N5ZWYIA3"", ""MPA AI - Citizen Services Mgt Platform RFP (WL)"")",0014M00001yT1CLQA0,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002RPFPsQAP"", ""Ministry of Public Administration and Artificial Intelligence"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WFUoOAO"", ""MPA AI: LMS for Gov Employees"")","$60,000.00",Stage 0-2 ➔ Stage 3,September,2026-09-09,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Mauro Miyake,Infra AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OfDQvIAN"", ""MPA AI: MLS for Gov Employees (SmartTerm)"")",0014M00001yT1CLQA0,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,0,2,1,3,2,0.0%,66.7%,33.3%,Artificial Intelligence,Gemini Enterprise,🚀 Steady,P20240324012,Active Progression
Tier 3 ➔ Tier 2,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,P20240324012,No Upgrades
Tier 2 ➔ Tier 1,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,P20240324012,No Upgrades
TOTAL DRP TIER PROMOTIONS,0,2,1,3,2,0.0%,66.7%,33.3%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
Artificial Intelligence,Gemini Enterprise,1,0,0,1,0,1,0,1,P20231019004,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
