PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Admazing Cloud | Partner Engineer: Wanda Flores | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 25 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),1,"$17,700.00",1,"$120,000.00",0,$0.00,2,"$137,700.00",100.0%,Build with AI,"$68,850.00",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),0,$0.00,0,$0.00,0,$0.00,0,$0.00,0.0%,-,$0.00,Front-Loaded,No Movements
TOTAL WORKLOAD MOVEMENTS,1,"$17,700.00",1,"$120,000.00",0,$0.00,2,"$137,700.00",100.0%,-,"$68,850.00",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001jQlxsQAC"", ""Naturaceites"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WBNjOAO"", ""Naturaceites#Gemini Enterprise"")","$17,700.00",Stage 0-2 ➔ Stage 3,July,2026-07-27,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Christiane Amorosino,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PGKBmIAP"", ""#GCP #GeminiEnterprise #GT #OUTBOUND #Naturaceites"")",0014M00002TEyhPQAT,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001jaLXGQA2"", ""Banco Popular Dominicano S. A. Banco Multiple"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009ePYWOA2"", ""Gemini enterprise 480 Banco Popular"")","$120,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-12,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Diana Cuevas Jurney,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PYm2kIAD"", ""Banco Popular Dominicano #Gemini Enterprise #480std - Seguridad"")",0014M00002TEyhPQAT,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,P20240920001,No Upgrades
Tier 3 ➔ Tier 2,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,P20240920001,No Upgrades
Tier 2 ➔ Tier 1,0,0,1,1,1,0.0%,0.0%,100.0%,Data & Analytics,BigQuery,🌱 Emerging,P20240920001,Active Progression
TOTAL DRP TIER PROMOTIONS,0,0,1,1,1,0.0%,0.0%,100.0%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
Data & Analytics,BigQuery,0,0,1,1,0,0,1,1,P20240920001,🌱 Emerging (1-2),Tier 2 ➔ Tier 1,Active
TOTAL,-,0,0,1,1,0,0,1,1,-,-,-,-
,,,,,,,,,,,,,
PRACTITIONER PROFILES PROGRESSION DETAIL (INDIVIDUAL LEVEL TRANSITIONS),,,,,,,,,,,,,
Profile ID,Practice Area,Product,Tier Movement,Transition Month,Transition Date,Previous Score,New Score,Score Delta,Previous Tier,New Tier,DRP Partner Key,Promotion Type,Status
ADMFCCPE8,Data & Analytics,BigQuery,Tier 2 ➔ Tier 1,September,2026-09-17,49.0,54.0,+5.0,Tier 2,Tier 1,P20240920001,Tier Upgrade,Promoted
