PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Autenticare Consultoria e Desenvolvimento de Software Ltda. | Partner Engineer: Wanda Flores | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 18 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),0,$0.00,2,$600.00,0,$0.00,2,$600.00,66.7%,Build with AI,$300.00,Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),0,$0.00,1,$600.00,0,$0.00,1,$600.00,33.3%,Build with AI,$600.00,Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,0,$0.00,3,"$1,200.00",0,$0.00,3,"$1,200.00",100.0%,-,$400.00,-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001h5CnsQAE"", ""FGV - Fundação Getulio Vargas"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZPpnOAG"", ""FGV| GE Activation WL"")",$600.00,Stage 0-2 ➔ Stage 3,August,2026-08-25,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.3: Migrated/Implemented,Sandra Sagara,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000P87tzIAB"", ""FGV| PoC GE  Plus - Felipe Quintella"")",0014M00002N6nCYQAZ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001h5CnsQAE"", ""FGV - Fundação Getulio Vargas"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZPpnOAG"", ""FGV| GE Activation WL"")",$600.00,Stage 3 ➔ Stage 4.1,August,2026-08-25,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Sandra Sagara,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000P87tzIAB"", ""FGV| PoC GE  Plus - Felipe Quintella"")",0014M00002N6nCYQAZ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001yT1dvQAC"", ""FTD Educação"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZPpiOAG"", ""FTD | GE Activation Seat"")",$0.00,Stage 0-2 ➔ Stage 3,August,2026-08-26,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Sandra Sagara,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OQTIgIAP"", ""FTD | GE| supersede| split faturamento"")",0014M00002N6nCYQAZ,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,3,1,0,4,2,75.0%,25.0%,0.0%,Artificial Intelligence,Workspace,🚀 Steady,P20231030001,Active Progression
