PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Comercializadora Zenta Group SPA | Partner Engineer: Oliver Hartley | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 23 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),3,"$184,324.00",1,"$23,400.00",0,$0.00,4,"$207,724.00",66.7%,Build with AI,"$51,931.00",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),0,$0.00,1,"$23,400.00",1,"$56,000.00",2,"$79,400.00",33.3%,Build with AI,"$39,700.00",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,3,"$184,324.00",2,"$46,800.00",1,"$56,000.00",6,"$287,124.00",100.0%,-,"$47,854.00",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hNKv8QAG"", ""Betterfly"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009e8PLOAY"", ""Gemini Enterprise Betterfly"")","$66,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-21,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Jilver Tyson Fuentes,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OlL7pIAF"", ""Gemini Enterprise Betterfly productivity"")",0014M00001h39BLQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hiIcNQAU"", ""Asesoría DOX Spa"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009W6gMOAS"", ""Asesoria DOX Spa #OUT #GCVE"")","$30,324.00",Stage 0-2 ➔ Stage 3,July,2026-07-21,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Agustina Maria Cano,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OJLEVIA5"", ""Asesoria DOX Spa #OUT #GCE"")",0014M00001h39BLQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001oip14QAA"", ""Fintoc SpA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZKzGOAW"", ""Data & Analytics agents"")","$88,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-30,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.2: Ramping / Deliver,Felipe Albertini,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PVWclIAH"", ""Iniciativas Data & Analitycs Fintoc"")",0014M00001h39BLQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001jT59IQAS"", ""Chattigo SpA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tZ2xOAE"", ""Chattigo - Gemini Enterprise - WL"")","$23,400.00",Stage 0-2 ➔ Stage 3,August,2026-08-10,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Patricio Perez,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NSQZgIAP"", ""Chattigo - Gemini Enterprise - 30k"")",0014M00001h39BLQAY,Progressed
