PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: DATALAKERS TECNOLOGIA LTDA | Partner Engineer: Wanda Flores | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 24 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),2,"$115,000.00",1,"$110,000.00",0,$0.00,3,"$225,000.00",75.0%,Analytics,"$75,000.00",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),0,$0.00,0,$0.00,1,"$110,000.00",1,"$110,000.00",25.0%,Analytics,"$110,000.00",Accelerating,Active Progression
TOTAL WORKLOAD MOVEMENTS,2,"$115,000.00",1,"$110,000.00",1,"$110,000.00",4,"$335,000.00",100.0%,-,"$83,750.00",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hUMoVQAW"", ""Instituto das Pequenas Missionarias de Maria Imaculada"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZHrnOAG"", ""Instituto das Pequenas Missionárias - DataLakers"")","$95,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-16,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Renan Valadares,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OmQr7IAF"", ""Instituto das Pequenas Missionárias - DataLakers - #GCSaudenasNuvens26"")",0014M00001h3BebQAE,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002MHdEvQAL"", ""Real Hospital Português de Beneficência"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZIinOAG"", ""REAL HOSPITAL PORTUGUES DE BENEFICENCIA EM PERNAMBUCO - DataLakers"")","$20,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-20,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Renan Valadares,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OovLeIAJ"", ""REAL HOSPITAL PORTUGUES DE BENEFICENCIA EM PERNAMBUCO - DataLakers"")",0014M00001h3BebQAE,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hk1oqQAA"", ""Bupa - Parent Account"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eRyCOAU"", ""WL LAKE"")","$110,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-20,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Alexandre Kota,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NSbOPIA1"", ""[Care Plus] Data Lake TI #SaudeNasNuvens"")",0014M00001h3BebQAE,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hk1oqQAA"", ""Bupa - Parent Account"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eRyCOAU"", ""WL LAKE"")","$110,000.00",Stage 3 ➔ Stage 4.1,September,2026-09-21,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Alexandre Kota,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NSbOPIA1"", ""[Care Plus] Data Lake TI #SaudeNasNuvens"")",0014M00001h3BebQAE,Progressed
