PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Davinci Technologies S.A.S. | Partner Engineer: Wanda Flores | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 23 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),1,"$100,000.00",1,"$50,000.00",0,$0.00,2,"$150,000.00",66.7%,Migrate Modernize and Build,"$75,000.00",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),1,"$100,000.00",0,$0.00,0,$0.00,1,"$100,000.00",33.3%,Migrate Modernize and Build,"$100,000.00",Front-Loaded,Active Progression
TOTAL WORKLOAD MOVEMENTS,2,"$200,000.00",1,"$50,000.00",0,$0.00,3,"$250,000.00",100.0%,-,"$83,333.33",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001m7Wl4QAE"", ""SALUD TOTAL"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WC9dOAG"", ""Salud Total - migracion VM"")","$100,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-10,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.3: Migrated/Implemented,Paula Urbano,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OezG3IAJ"", ""Salud Total -  Lift and shift VMs"")",0014M00001h3APgQAM,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001m7Wl4QAE"", ""SALUD TOTAL"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WC9dOAG"", ""Salud Total - migracion VM"")","$100,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-27,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Paula Urbano,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OezG3IAJ"", ""Salud Total -  Lift and shift VMs"")",0014M00001h3APgQAM,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001h6ZoDQAU"", ""Grupo Nutresa S. A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZHW0OAO"", ""Novaventa - Customer 360 Spanner Graph"")","$50,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-05,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Harold Zuluaga,Migrate and Modernize Databases,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PHrHXIA1"", ""Novaventa - Customer 360 Spanner Graph"")",0014M00001h33K1QAI,Progressed
