PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Devaid SPA | Partner Engineer: Oliver Hartley | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 15 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),2,"$279,600.00",1,"$100,000.00",0,$0.00,3,"$379,600.00",100.0%,Migrate Modernize and Build,"$126,533.33",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),0,$0.00,0,$0.00,0,$0.00,0,$0.00,0.0%,-,$0.00,Front-Loaded,No Movements
TOTAL WORKLOAD MOVEMENTS,2,"$279,600.00",1,"$100,000.00",0,$0.00,3,"$379,600.00",100.0%,-,"$126,533.33",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002MvX7JQAV"", ""ENTEL CALL CENTER S A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf0000082LGYOA2"", ""ENTEL MIGRACION AWS A GCP"")","$180,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-07,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,0-2: Tech Eval/Solution Dev,Gabriel Gomez,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000KrDZTIA3"", ""Entel Call Center - AWS a GCP"")",0014M00001h38aiQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hReHaQAK"", ""Empresa Nacional de Energia Enex S.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009dymeOAA"", ""Enex - Visualización de Camiones"")","$99,600.00",Stage 0-2 ➔ Stage 3,July,2026-07-20,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Christian Cuadros,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OE4WxIAL"", ""Enex - Visualización de Camiones en Tiempo Real dentro de una Geocerca (Devaid)"")",0014M00001h38aiQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hMjsHQAS"", ""CIAL - Consorcio Industrial de Alimentos S.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZN3hOAG"", ""Cial Commit 2026"")","$100,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-18,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Christian Cuadros,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PYLE0IAP"", ""Cial Commit 2026"")",0014M00001h38aiQAA,Progressed
,,,,,,,,,,,,,
