PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Emergys Mexico | Partner Engineer: Ignacio Rauda | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 21 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),2,"$223,000.00",1,"$150,000.00",3,"$320,000.00",6,"$693,000.00",66.7%,Migrate Modernize and Build,"$115,500.00",Accelerating,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),2,"$103,000.00",0,$0.00,1,"$49,000.00",3,"$152,000.00",33.3%,Build with AI,"$50,666.67",Accelerating,Active Progression
TOTAL WORKLOAD MOVEMENTS,4,"$326,000.00",1,"$150,000.00",4,"$369,000.00",9,"$845,000.00",100.0%,-,"$93,888.89",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf000013AwSUIA0"", ""Abastecedora de Combustibles de Pacífico, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kGa3OAE"", ""Red Petroil - AWT Gemini Enterprise"")","$43,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-03,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Linnet Jáuregui,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000O9sDMIAZ"", ""Red Petroil - GWS 3Y"")",0014M00001msBmRQAU,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf000013AwSUIA0"", ""Abastecedora de Combustibles de Pacífico, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kGa3OAE"", ""Red Petroil - AWT Gemini Enterprise"")","$43,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-03,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Closed,Linnet Jáuregui,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000O9sDMIAZ"", ""Red Petroil - GWS 3Y"")",0014M00001msBmRQAU,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hdIWtQAM"", ""Pinsa"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009oYd3OAE"", ""PINSA - Solución de Analítica Predictiva con ML"")","$60,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-28,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Closed,Juan Rodiles,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000LZDk0IAH"", ""PINSA - Solución de Analítica Predictiva con ML"")",0014M00001msBmRQAU,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hdIWtQAM"", ""Pinsa"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eKF5OAM"", ""Migracion cargas no productivas fase 1"")","$180,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-31,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Juan Rodiles,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PEl92IAD"", ""InfraInfraestructura Google Cloud v1"")",0014M00001msBmRQAU,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hQ3UZQA0"", ""Dportenis"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009oUoHOAU"", ""(New)(EBC NY) Comercial Dportenis (DATAWARE)(Uruchurtu)(Emergys)"")","$150,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-03,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Claudia Cermeli,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000JfZkSIAV"", ""(New)(EBC NY) Comercial Dportenis (DATAWARE)(Uruchurtu)(Emergys)"")",0014M00001msBmRQAU,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002LI626QAD"", ""Grupo Petroil"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kFHAOA2"", ""Grupo Petroil Gemini Enterprise Emergys"")","$49,000.00",Stage 3 ➔ Stage 4.1,September,2026-09-15,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Linnet Jáuregui,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OnWSyIAN"", ""Grupo Petroil - Workspace #SoftBundle #GE #GWS #EntStd"")",0014M00001msBmRQAU,Progressed
