PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Fluentcore, LLC (Fluent Data) | Partner Engineer: Wanda Flores | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 16 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),2,"$100,000.00",1,"$70,000.00",1,"$60,000.00",4,"$230,000.00",80.0%,Build with AI,"$57,500.00",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),1,"$80,000.00",0,$0.00,0,$0.00,1,"$80,000.00",20.0%,Build with AI,"$80,000.00",Front-Loaded,Active Progression
TOTAL WORKLOAD MOVEMENTS,3,"$180,000.00",1,"$70,000.00",1,"$60,000.00",5,"$310,000.00",100.0%,-,"$62,000.00",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hdj27QAA"", ""Grupo RPP S.A.C."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tYIkOAM"", ""Grupo RPP | 100 Licencias Gemini Enterprise"")","$60,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-01,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Arianne Mahuad Escardo,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NSU8jIAH"", ""Grupo RPP | 100 Licencias Gemini Enterprise"")",0014M00002OTvKOQA1,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hiqrTQAQ"", ""Intercorp Peru Ltd."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf0000082NgnOAE"", ""InRetail AI for developers - PinApp"")","$80,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-06,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Chiara Ascenzo Forero,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OetplIAB"", ""InRetail AI for developers"")",0014M00002OTvKOQA1,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001zAyafQAC"", ""Grupo Agrisal"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009W7xEOAS"", ""Agrisal #Vertex AI Agente Conversacional"")","$40,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-23,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Christiane Amorosino,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OK1oVIAT"", ""Agrisal #Vertex AI Agente Conversacional"")",0014M00002OTvKOQA1,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002TMCaWQAX"", ""Ministry of Home Affairs"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf0000082KkDOAU"", ""Min Home Affairs - Land Reg DocDash"")","$70,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-24,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Mauro Miyake,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000LFwocIAD"", ""Bermuda - Home Affairs Land Title Reg (WL) DR - M25"")",0014M00002OTvKOQA1,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002RPFPsQAP"", ""Ministry of Public Administration and Artificial Intelligence"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WEf2OAG"", ""MPA AI: Document Digitalization"")","$60,000.00",Stage 0-2 ➔ Stage 3,September,2026-09-09,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Mauro Miyake,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000N5ixUIAR"", ""MPA AI: Document Digitalization (FluentData)"")",0014M00002OTvKOQA1,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,16,8,3,27,11,59.3%,29.6%,11.1%,Artificial Intelligence,Gemini Enterprise Agent Platform,🔥 High,P20231023005,Active Progression
Tier 3 ➔ Tier 2,6,3,0,9,6,66.7%,33.3%,0.0%,Data & Analytics,BigQuery,🚀 Steady,P20231023005,Active Progression
Tier 2 ➔ Tier 1,3,2,0,5,4,60.0%,40.0%,0.0%,Artificial Intelligence,BigQuery,🚀 Steady,P20231023005,Active Progression
TOTAL DRP TIER PROMOTIONS,25,13,3,41,13,61.0%,31.7%,7.3%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
Application Modernization,Apigee API Management,1,0,0,1,1,0,0,1,P20231023005,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Application Modernization,Cloud Run,4,1,0,5,5,0,0,4,P20231023005,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,AI Applications,2,0,1,3,3,0,0,3,P20231023005,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,GECX - CX Agent Studio,3,0,0,3,0,0,3,3,P20231023005,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise,1,1,1,3,2,1,0,2,P20231023005,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise Agent Platform,4,1,1,6,5,1,0,6,P20231023005,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise for Customer Experience,1,1,0,2,2,0,0,2,P20231023005,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Data & Analytics,BigQuery,1,3,2,6,3,3,0,5,P20231023005,🚀 Steady Growth (3-9),Tier 3 ➔ Tier 2,Active
