PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Gentrop Cloud Brasil | Partner Engineer: Luna Longo | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 23 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),6,"$2,648,908.76",3,"$157,000.00",0,$0.00,9,"$2,805,908.76",69.2%,Build with AI,"$311,767.64",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),1,"$260,000.00",2,"$547,290.00",1,"$14,875.00",4,"$822,165.00",30.8%,Build with AI,"$205,541.25",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,7,"$2,908,908.76",5,"$704,290.00",1,"$14,875.00",13,"$3,628,073.76",100.0%,-,"$279,082.60",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hY0zGQAS"", ""Valid SA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009e9lnOAA"", ""Valid - Gemini Enterprise"")","$260,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-06,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Mariane Camponogara,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OKgFdIAL"", ""Valid - Gemini Enterprise"")",0014M00001h32coQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hWFKsQAO"", ""Gupy"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZL7AOAW"", ""[Gupy] Gemini Enterprise Activation Seats & Antigravity"")","$180,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-13,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Danae Cassis,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PNmSLIA1"", ""[Gupy] Gemini Enterprise | Gentrop"")",0014M00001h32coQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001htVnnQAE"", ""AeC Centro de Contatos S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZM3MOAW"", ""Gemini 400 Seats"")","$150,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-20,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Renan Valadares,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PX9agIAD"", ""Gemini Enterprise Expansion - 150 Seats"")",0014M00001h32coQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001huwY8QAI"", ""Contabilizei"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009oj5xOAA"", ""Contabilizei - GE Seat Activation Ramp (Opp:006Kf00000LjJRuIAN)"")","$397,290.00",Stage 0-2 ➔ Stage 3,July,2026-07-27,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.2: Ramping / Deliver,Tammy Fukuoka,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000LjJRuIAN"", ""Contabilizei - Agentspace / Gemini Ent"")",0014M00001h32coQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001rJViPQAW"", ""Mataboi Alimentos Ltda"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZLXaOAO"", ""Mataboi Alimentos Ltda - Chrome Enterprise Premium - GENTROP CLOUD BRASIL LTDA E"")","$15,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-27,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Tamires Peres,Security,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PPY5LIAX"", ""<Mataboi Alimentos> CEP <Gentrop> for <440>"")",0014M00001h32coQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hY1qwQAC"", ""Nu Pagamentos S/A - INSTITUICAO DE PAGAMENTO"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZKUOOA4"", ""Nupilot GE Year 1"")","$1,706,618.76",Stage 0-2 ➔ Stage 3,July,2026-07-29,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Ricardo de Almeida,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NSFaKIAX"", ""Nu Pagamentos S/A - INSTITUICAO DE PAGAMENTO - nubank.com.br - 2026-Q4 renewal #FY26_AWT_Renewal"")",0014M00001h32coQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hKHC9QAO"", ""Ri Happy Brinquedos S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tUzLOAU"", ""Ri Happy - Gemini Enterprise"")","$200,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-29,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Sebastian Gomez,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NS9E2IAL"", ""Ri Happy - Gemini Enterprise"")",0014M00001h32coQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001iqTWjQAM"", ""Dasa - Diagnosticos da America"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eKOqOAM"", ""WL: Dasa - GCP - VMs para Migração GWS"")","$107,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-08,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Daniela Beraldo,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OpyYOIAZ"", ""Dasa - GCP - VMs para Migração GWS"")",0014M00001h32coQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001huwY8QAI"", ""Contabilizei"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009oj5xOAA"", ""Contabilizei - GE Seat Activation Ramp (Opp:006Kf00000LjJRuIAN)"")","$397,290.00",Stage 3 ➔ Stage 4.1,August,2026-08-10,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Tammy Fukuoka,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000LjJRuIAN"", ""Contabilizei - Agentspace / Gemini Ent"")",0014M00001h32coQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hXy8UQAS"", ""MV SISTEMAS LTDA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tYjCOAU"", ""[MV] Soul Agents"")","$150,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-21,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Alexandre Kota,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NS9G8IAL"", ""[MV] Agente para SoulMV #HIMSS2026BR"")",0014M00001h32coQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lVJPwQAO"", ""J & F Investimentos S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tVOkOAM"", ""JBS-minutodeouro_Gemini"")","$20,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-25,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Rafael Iapequino,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PigvJIAR"", ""JBS | Minuto de Ouro"")",0014M00001h32coQAA,Progressed
