PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: INFORMACIÓN LOCALIZADA SAS (Servinformación) | Partner Engineer: Jaquelyn Montañez, Fernando Laguna | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 18 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),29,"$8,092,857.74",14,"$1,930,590.68",9,"$635,290.00",52,"$10,658,738.42",72.2%,Build with AI,"$204,975.74",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),8,"$3,045,288.00",10,"$1,328,805.44",2,"$129,500.00",20,"$4,503,593.44",27.8%,Build with AI,"$225,179.67",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,37,"$11,138,145.74",24,"$3,259,396.12",11,"$764,790.00",72,"$15,162,331.86",100.0%,-,"$210,587.94",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001h3YBnQAM"", ""Corporacion Multi Inversiones S.A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009t1FROAY"", ""CMI - GE Crecimiento 300 Seats - Q3FY26"")","$200,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-01,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Daniel Cornejo,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000KZE59IAH"", ""CMI - GE Crecimiento - 800Seats Q3FY26"")",0014M00002TEROiQAP,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001jRx6nQAC"", ""Tower Bank"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kIVPOA2"", ""Towerbank -  GE  #roadshowcentroamerica"")","$100,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-01,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Daniel Cornejo,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OAen3IAD"", ""Towerbank - Commit (GE, WS, MAndiant)   #roadshowcentroamerica"")",0014M00002GHywFQAT,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hT6tiQAC"", ""GRUPO ZOOM LTDA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eCHEOA2"", ""zoom_EA_wkl"")","$52,248.00",Stage 3 ➔ Stage 4.1,July,2026-07-01,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Andrea Forero,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Oo7GAIAZ"", ""Zoom_EA"")",0014M00002GHyyuQAD,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hYWmQQAW"", ""Delosi S.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eIapOAE"", ""Delosi | 250 Licencias Gemini Enterprise"")","$50,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-01,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Arianne Mahuad Escardo,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OpZIpIAN"", ""Delosi | 250 Licencias Gemini Enterprise"")",0014M00001h34A7QAI,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hYWmQQAW"", ""Delosi S.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eDXHOA2"", ""Delosi | MVP Voicebot KFC"")","$40,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-01,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Arianne Mahuad Escardo,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Op02JIAR"", ""Delosi | MVP Voicebot KFC"")",0014M00001h34A7QAI,Progressed
