PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: IPNET (Telefônica Cloud) | Partner Engineer: Thiago da Ponte | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 15 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),6,"$341,000.00",12,"$1,355,870.00",1,$100.00,19,"$1,696,970.00",82.6%,Build with AI,"$89,314.21",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),2,"$791,752.98",2,"$120,870.00",0,$0.00,4,"$912,622.98",17.4%,Build with AI,"$228,155.74",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,8,"$1,132,752.98",14,"$1,476,740.00",1,$100.00,23,"$2,609,592.98",100.0%,-,"$113,460.56",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hUMmdQAG"", ""Rede D'or São Luiz S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf00000828O5OAI"", ""Sul America - #GeminiEnterprise 6K"")","$716,752.98",Stage 3 ➔ Stage 4.1,July,2026-07-01,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Renato Gregio,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000JaCAyIAN"", ""Sul America - #GeminiEnterprise 6K"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hqktmQAA"", ""Casa Publicadora Brasileira"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZCrOOAW"", ""CPB - GEMINI ENTERPRISE"")","$20,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-20,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Jose Sales Andrade,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OIszIIAT"", ""CASA PUBLICADORA BRASILEIRA  #GEMINI ENTERPRISE #GCP #OUT"")",0014M00001h31NNQAY,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lHlKgQAK"", ""TRABAJANDO COM CHILE S A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009W9c3OAC"", ""Trabajando RecommendationAI"")","$30,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-21,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Agustina Maria Cano,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PGBbwIAH"", ""Trabajando #INB #RecommendationAI"")",0014M00001h38bpQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lHlKgQAK"", ""TRABAJANDO COM CHILE S A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009ta9BOAQ"", ""Trabajando.com - Gemini Enterprise CX"")","$15,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-21,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Agustina Maria Cano,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NSYtUIAX"", ""Trabajando.com - Gemini Enterprise CX"")",0014M00001h38bpQAA,Progressed
