PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Incubeta México | Partner Engineer: Wanda Flores | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 21 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),0,$0.00,0,$0.00,0,$0.00,0,$0.00,0.0%,-,$0.00,Front-Loaded,No Movements
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),0,$0.00,0,$0.00,0,$0.00,0,$0.00,0.0%,-,$0.00,Front-Loaded,No Movements
TOTAL WORKLOAD MOVEMENTS,0,$0.00,0,$0.00,0,$0.00,0,$0.00,100.0%,-,$0.00,-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
No stage advancements recorded for this partner in Q3 2026 (July - September),,,,,,,,,,,,,
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,4,12,5,21,15,19.0%,57.1%,23.8%,Artificial Intelligence,Gemini Enterprise for Customer Experience,🔥 High,P20231226006,Active Progression
Tier 3 ➔ Tier 2,3,7,3,13,10,23.1%,53.8%,23.1%,Data & Analytics,BigQuery,🔥 High,P20231226006,Active Progression
Tier 2 ➔ Tier 1,5,5,1,11,6,45.5%,45.5%,9.1%,Data & Analytics,BigQuery,🔥 High,P20231226006,Active Progression
TOTAL DRP TIER PROMOTIONS,12,24,9,45,19,26.7%,53.3%,20.0%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
Artificial Intelligence,AI Applications,0,0,1,1,1,0,0,1,P20231226006,🌱 Emerging (1-2),Tier 2 ➔ Tier 1,Active
Artificial Intelligence,GECX - CX Agent Studio,1,0,0,1,0,0,1,1,P20231226006,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise,1,1,1,3,1,2,0,2,P20231226006,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise Agent Platform,5,2,2,9,1,6,2,9,P20231226006,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise for Customer Experience,6,1,1,8,1,7,0,6,P20231226006,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Data & Analytics,BigQuery,3,6,3,12,3,6,3,10,P20231226006,🔥 High Velocity (10+),Tier 3 ➔ Tier 2,Active
Data & Analytics,Dataflow,2,0,1,3,1,1,1,3,P20231226006,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Data & Analytics,Dataproc,2,2,0,4,2,1,1,3,P20231226006,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Data & Analytics,Looker,1,1,2,4,2,1,1,3,P20231226006,🚀 Steady Growth (3-9),Tier 2 ➔ Tier 1,Active
TOTAL,-,21,13,11,45,12,24,9,19,-,-,-,-
,,,,,,,,,,,,,
PRACTITIONER PROFILES PROGRESSION DETAIL (INDIVIDUAL LEVEL TRANSITIONS),,,,,,,,,,,,,
Profile ID,Practice Area,Product,Tier Movement,Transition Month,Transition Date,Previous Score,New Score,Score Delta,Previous Tier,New Tier,DRP Partner Key,Promotion Type,Status
INCALZSI6,Data & Analytics,BigQuery,Tier 4 ➔ Tier 3,July,2026-07-01,11.0,21.0,+10.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCSDKMM2,Data & Analytics,Dataproc,Tier 3 ➔ Tier 2,July,2026-07-02,34.0,44.0,+10.0,Tier 3,Tier 2,P20231226006,Tier Upgrade,Promoted
INCLMCLI7,Data & Analytics,Dataproc,Tier 4 ➔ Tier 3,July,2026-07-02,19.0,29.0,+10.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCAKOVZ6,Data & Analytics,Looker,Tier 4 ➔ Tier 3,July,2026-07-04,14.0,24.0,+10.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCAKOVZ6,Data & Analytics,BigQuery,Tier 3 ➔ Tier 2,July,2026-07-04,34.0,44.0,+10.0,Tier 3,Tier 2,P20231226006,Tier Upgrade,Promoted
INCJGLRH5,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,July,2026-07-21,49.0,59.0,+10.0,Tier 2,Tier 1,P20231226006,Tier Upgrade,Promoted
INCJGLRH5,Artificial Intelligence,AI Applications,Tier 2 ➔ Tier 1,July,2026-07-21,44.0,54.0,+10.0,Tier 2,Tier 1,P20231226006,Tier Upgrade,Promoted
INCJGLRH5,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-21,34.0,44.0,+10.0,Tier 3,Tier 2,P20231226006,Tier Upgrade,Promoted
INCJGLRH5,Data & Analytics,Dataflow,Tier 2 ➔ Tier 1,July,2026-07-21,49.0,54.0,+5.0,Tier 2,Tier 1,P20231226006,Tier Upgrade,Promoted
INCJGLRH5,Data & Analytics,Looker,Tier 2 ➔ Tier 1,July,2026-07-21,49.0,54.0,+5.0,Tier 2,Tier 1,P20231226006,Tier Upgrade,Promoted
INCJGLRH5,Data & Analytics,BigQuery,Tier 2 ➔ Tier 1,July,2026-07-21,49.0,54.0,+5.0,Tier 2,Tier 1,P20231226006,Tier Upgrade,Promoted
INCJGLRH5,Artificial Intelligence,Gemini Enterprise for Customer Experience,Tier 4 ➔ Tier 3,July,2026-07-29,19.0,24.0,+5.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCALZSI6,Artificial Intelligence,Gemini Enterprise for Customer Experience,Tier 4 ➔ Tier 3,August,2026-08-03,6.0,22.0,+16.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCCETMB2,Artificial Intelligence,Gemini Enterprise for Customer Experience,Tier 4 ➔ Tier 3,August,2026-08-12,15.0,20.0,+5.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCAAVHO7,Artificial Intelligence,Gemini Enterprise for Customer Experience,Tier 4 ➔ Tier 3,August,2026-08-12,19.0,24.0,+5.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCCETMB2,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,August,2026-08-12,15.0,20.0,+5.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCSUCIX2,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,August,2026-08-12,19.0,24.0,+5.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCALZSI6,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-12,17.0,27.0,+10.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCRPMOD3,Artificial Intelligence,Gemini Enterprise for Customer Experience,Tier 4 ➔ Tier 3,August,2026-08-12,19.0,24.0,+5.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCRRKLL0,Artificial Intelligence,Gemini Enterprise for Customer Experience,Tier 4 ➔ Tier 3,August,2026-08-12,14.0,24.0,+10.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCFKNCL5,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,August,2026-08-12,30.0,35.0,+5.0,Tier 3,Tier 2,P20231226006,Tier Upgrade,Promoted
INCALZSI6,Artificial Intelligence,Gemini Enterprise for Customer Experience,Tier 3 ➔ Tier 2,August,2026-08-12,32.0,42.0,+10.0,Tier 3,Tier 2,P20231226006,Tier Upgrade,Promoted
INCRCZCY9,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,August,2026-08-12,19.0,24.0,+5.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCAAVHO7,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,August,2026-08-12,49.0,54.0,+5.0,Tier 2,Tier 1,P20231226006,Tier Upgrade,Promoted
INCALZSI6,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,August,2026-08-12,17.0,22.0,+5.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCMSPUU0,Data & Analytics,BigQuery,Tier 4 ➔ Tier 3,August,2026-08-12,19.0,24.0,+5.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCALZSI6,Data & Analytics,BigQuery,Tier 3 ➔ Tier 2,August,2026-08-12,27.0,47.0,+20.0,Tier 3,Tier 2,P20231226006,Tier Upgrade,Promoted
INCHHFER2,Data & Analytics,BigQuery,Tier 2 ➔ Tier 1,August,2026-08-12,38.0,63.0,+25.0,Tier 2,Tier 1,P20231226006,Tier Upgrade,Promoted
INCSUCIX2,Data & Analytics,BigQuery,Tier 3 ➔ Tier 2,August,2026-08-12,34.0,39.0,+5.0,Tier 3,Tier 2,P20231226006,Tier Upgrade,Promoted
INCAKOVZ6,Data & Analytics,BigQuery,Tier 2 ➔ Tier 1,August,2026-08-12,44.0,69.0,+25.0,Tier 2,Tier 1,P20231226006,Tier Upgrade,Promoted
INCRTXXA1,Data & Analytics,BigQuery,Tier 3 ➔ Tier 2,August,2026-08-12,29.0,44.0,+15.0,Tier 3,Tier 2,P20231226006,Tier Upgrade,Promoted
INCJGLRH5,Artificial Intelligence,Gemini Enterprise,Tier 2 ➔ Tier 1,August,2026-08-13,49.0,54.0,+5.0,Tier 2,Tier 1,P20231226006,Tier Upgrade,Promoted
INCLMCLI7,Data & Analytics,Dataproc,Tier 3 ➔ Tier 2,August,2026-08-17,29.0,44.0,+15.0,Tier 3,Tier 2,P20231226006,Tier Upgrade,Promoted
INCSDKMM2,Data & Analytics,Dataflow,Tier 4 ➔ Tier 3,August,2026-08-17,19.0,24.0,+5.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCALZSI6,Artificial Intelligence,Gemini Enterprise for Customer Experience,Tier 2 ➔ Tier 1,August,2026-08-18,42.0,52.0,+10.0,Tier 2,Tier 1,P20231226006,Tier Upgrade,Promoted
INCDOYCE9,Data & Analytics,Looker,Tier 3 ➔ Tier 2,August,2026-08-25,34.0,44.0,+10.0,Tier 3,Tier 2,P20231226006,Tier Upgrade,Promoted
INCJGLRH5,Artificial Intelligence,GECX - CX Agent Studio,Tier 4 ➔ Tier 3,September,2026-09-01,19.0,24.0,+5.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCDOYCE9,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,September,2026-09-06,29.0,39.0,+10.0,Tier 3,Tier 2,P20231226006,Tier Upgrade,Promoted
INCJCYKU7,Data & Analytics,Dataproc,Tier 4 ➔ Tier 3,September,2026-09-08,19.0,24.0,+5.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCJLEZW9,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,September,2026-09-09,19.0,29.0,+10.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCDOYCE9,Data & Analytics,Looker,Tier 2 ➔ Tier 1,September,2026-09-15,49.0,54.0,+5.0,Tier 2,Tier 1,P20231226006,Tier Upgrade,Promoted
INCFKNCL5,Data & Analytics,BigQuery,Tier 4 ➔ Tier 3,September,2026-09-16,15.0,20.0,+5.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
INCZRZZJ7,Data & Analytics,BigQuery,Tier 3 ➔ Tier 2,September,2026-09-17,34.0,39.0,+5.0,Tier 3,Tier 2,P20231226006,Tier Upgrade,Promoted
INCDOYCE9,Data & Analytics,BigQuery,Tier 3 ➔ Tier 2,September,2026-09-17,34.0,39.0,+5.0,Tier 3,Tier 2,P20231226006,Tier Upgrade,Promoted
INCFKNCL5,Data & Analytics,Dataflow,Tier 4 ➔ Tier 3,September,2026-09-19,15.0,20.0,+5.0,Tier 4,Tier 3,P20231226006,Tier Upgrade,Promoted
