PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Kyndryl Brasil | Partner Engineer: Thiago da Ponte | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 24 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),8,"$3,000,000.00",4,"$526,984.00",3,"$2,905,984.00",15,"$6,432,968.00",75.0%,Migrate Modernize and Build,"$428,864.53",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),3,"$720,000.00",2,"$237,880.00",0,$0.00,5,"$957,880.00",25.0%,Analytics,"$191,576.00",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,11,"$3,720,000.00",6,"$764,864.00",3,"$2,905,984.00",20,"$7,390,848.00",100.0%,-,"$369,542.40",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001kPwfXQAS"", ""Mobility ADO"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eMrpOAE"", ""ADO - Telemetry ADO ecosystem Analytics"")","$456,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-01,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,0-2: Tech Eval/Solution Dev,Arturo Portas,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OR9x0IAD"", ""ADO 2026 #PlaybookGE"")",0014M00001yTakKQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001kPwfXQAS"", ""Mobility ADO"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eMrkOAE"", ""ADO - Autobus VisionAI Solution"")","$252,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-01,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,0-2: Tech Eval/Solution Dev,Arturo Portas,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OR9x0IAD"", ""ADO 2026 #PlaybookGE"")",0014M00001yTakKQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001kCOb9QAG"", ""Inmobiliaria Ruba, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eJT1OAM"", ""Ruba - Looker 2.0"")","$50,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-03,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Jesus Gonzalez,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000LkFBMIA3"", ""Inmobiliaria Ruba#GCP#VertexAI"")",0014M00001yTakKQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf000014S8XBIA0"", ""Pisa Global"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZJ4jOAG"", ""SABIA"")","$200,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-06,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Maria Aja Kindelan,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000KbI7vIAF"", ""Pisa Pharmaceutical  #GCP #OUT #MXLargeDeals #RECOMMIT #PlaybookGE"")",0014M00001yTakKQAS,Progressed
