PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: MadeinWeb S/A | Partner Engineer: Oliver Hartley | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 16 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),4,"$750,000.00",10,"$5,170,000.00",1,"$300,000.00",15,"$6,220,000.00",60.0%,Build with AI,"$414,666.67",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),2,"$180,063.00",4,"$3,016,796.48",4,"$487,680.00",10,"$3,684,539.48",40.0%,Analytics,"$368,453.95",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,6,"$930,063.00",14,"$8,186,796.48",5,"$787,680.00",25,"$9,904,539.48",100.0%,-,"$396,181.58",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hUBZqQAO"", ""Marisa Lojas S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eD6LOAU"", ""Marisa - GE"")","$500,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-01,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.2: Ramping / Deliver,Sarah Tobias,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OowUNIAZ"", ""Marisa Lojas - Gemini Enterprise"")",0014M00002GGNRCQA5,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001n6bFlQAI"", ""Americanas S.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009W6ZkOAK"", ""Americanas - Incremental Growth- DataLake - INSTITUTO Projects"")","$96,224.00",Stage 3 ➔ Stage 4.1,July,2026-07-01,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,3:  Proposal / Negotiation,Lucas Jacoby,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OebgTIAR"", ""Revenue Increase - BigQuery&Vertex"")",0014M00002GGNRCQA5,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001n6QxmQAE"", ""Construtora Tenda S/A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009e58zOAA"", ""Inteligencia Terrenos_Tenda"")","$40,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-13,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Vanessa Moyses,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NysG8IAJ"", ""Inteligencia Terrenos_Tenda"")",0014M00002GGNRCQA5,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001htVnnQAE"", ""AeC Centro de Contatos S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZLhwOAG"", ""Assessment de Banco de dados - Mongo para Firestone #TDSYNNEX_NY_EXPEDITION_26"")","$120,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-16,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Renan Valadares,Migrate and Modernize Databases,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OFZXkIAP"", ""Assessment de Banco de dados - Mongo para Firestone #TDSYNNEX_NY_EXPEDITION_26"")",0014M00002GGNRCQA5,Progressed
