PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Multiedro Serviços de TI Ltda. | Partner Engineer: Wanda Flores | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 25 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),0,$0.00,0,$0.00,1,"$180,000.00",1,"$180,000.00",50.0%,Migrate and Modernize Databases,"$180,000.00",Accelerating,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),0,$0.00,1,"$185,000.00",0,$0.00,1,"$185,000.00",50.0%,Build with AI,"$185,000.00",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,0,$0.00,1,"$185,000.00",1,"$180,000.00",2,"$365,000.00",100.0%,-,"$182,500.00",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001qLm9VQAS"", ""Grupo Sinal"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eD5IOAU"", ""#WL_GeminiEnterprise_GrupoSinal_Multiedro"")","$185,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-10,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Saulo Pereira,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Oovt2IAB"", ""#GeminiEnterprise_AWT_GrupoSinal_Multiedro"")",0014M00001h33BxQAI,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001qLm9VQAS"", ""Grupo Sinal"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZPh5OAG"", ""#WL_CDP_SecondPhase_GrupoSinal"")","$180,000.00",Stage 0-2 ➔ Stage 3,September,2026-09-18,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Saulo Pereira,Migrate and Modernize Databases,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OorRiIAJ"", ""#RevGCP_Growth_GrupoSinal_Multiedro"")",0014M00001h33BxQAI,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,1,6,6,13,9,7.7%,46.2%,46.2%,Artificial Intelligence,Gemini Enterprise,🔥 High,P20220923207,Active Progression
Tier 3 ➔ Tier 2,1,4,1,6,5,16.7%,66.7%,16.7%,Artificial Intelligence,Gemini Enterprise,🚀 Steady,P20220923207,Active Progression
Tier 2 ➔ Tier 1,1,3,0,4,3,25.0%,75.0%,0.0%,Artificial Intelligence,Gemini Enterprise,🚀 Steady,P20220923207,Active Progression
TOTAL DRP TIER PROMOTIONS,3,13,7,23,11,13.0%,56.5%,30.4%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
Application Modernization,Cloud Run,2,0,0,2,0,1,1,2,P20220923207,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise,4,3,2,9,2,4,3,7,P20220923207,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise Agent Platform,2,1,1,4,0,2,2,4,P20220923207,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Data & Analytics,BigQuery,1,1,0,2,1,0,1,2,P20220923207,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Data & Analytics,Dataflow,0,0,1,1,0,1,0,1,P20220923207,🌱 Emerging (1-2),Tier 2 ➔ Tier 1,Active
Databases,Cloud SQL,0,1,0,1,0,1,0,1,P20220923207,🌱 Emerging (1-2),Tier 3 ➔ Tier 2,Active
Infrastructure Modernization,Google Cloud Networking,1,0,0,1,0,1,0,1,P20220923207,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Google Cloud VMware Engine,2,0,0,2,0,2,0,2,P20220923207,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Security,Security Operations,1,0,0,1,0,1,0,1,P20220923207,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
TOTAL,-,13,6,4,23,3,13,7,11,-,-,-,-
,,,,,,,,,,,,,
PRACTITIONER PROFILES PROGRESSION DETAIL (INDIVIDUAL LEVEL TRANSITIONS),,,,,,,,,,,,,
Profile ID,Practice Area,Product,Tier Movement,Transition Month,Transition Date,Previous Score,New Score,Score Delta,Previous Tier,New Tier,DRP Partner Key,Promotion Type,Status
MULRMBIG6,Artificial Intelligence,Gemini Enterprise,Tier 2 ➔ Tier 1,July,2026-07-05,49.0,54.0,+5.0,Tier 2,Tier 1,P20220923207,Tier Upgrade,Promoted
MULLSRVB8,Data & Analytics,BigQuery,Tier 3 ➔ Tier 2,July,2026-07-15,34.0,44.0,+10.0,Tier 3,Tier 2,P20220923207,Tier Upgrade,Promoted
MULLSNJW4,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-29,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923207,Tier Upgrade,Promoted
MULLOXNL1,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,August,2026-08-01,25.0,35.0,+10.0,Tier 3,Tier 2,P20220923207,Tier Upgrade,Promoted
MULLOXNL1,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,August,2026-08-03,30.0,35.0,+5.0,Tier 3,Tier 2,P20220923207,Tier Upgrade,Promoted
MULMSDPY7,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,August,2026-08-05,39.0,64.0,+25.0,Tier 2,Tier 1,P20220923207,Tier Upgrade,Promoted
MULMSDPY7,Databases,Cloud SQL,Tier 3 ➔ Tier 2,August,2026-08-05,34.0,39.0,+5.0,Tier 3,Tier 2,P20220923207,Tier Upgrade,Promoted
MULMSDPY7,Infrastructure Modernization,Google Cloud Networking,Tier 4 ➔ Tier 3,August,2026-08-05,19.0,24.0,+5.0,Tier 4,Tier 3,P20220923207,Tier Upgrade,Promoted
