PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: NXN Consultores | Partner Engineer: Ignacio Rauda | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 17 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),2,"$451,725.00",0,$0.00,2,"$350,000.00",4,"$801,725.00",57.1%,Build with AI,"$200,431.25",Accelerating,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),1,"$32,130.00",1,"$250,000.00",1,"$30,000.00",3,"$312,130.00",42.9%,Analytics,"$104,043.33",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,3,"$483,855.00",1,"$250,000.00",3,"$380,000.00",7,"$1,113,855.00",100.0%,-,"$159,122.14",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M000026rpyuQAA"", ""Macropay"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WBoaOAG"", ""App Microcreditos - Gemini Ent"")","$151,725.00",Stage 0-2 ➔ Stage 3,July,2026-07-05,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Rodrigo Cruz Miranda,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000N5xbOIAR"", ""Macropay - Vertex AI Serch - #Gemini Enterprise Fase2"")",0014M00001mrufoQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001h3VUEQA2"", ""Fábrica de Papel San Francisco"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kG7QOAU"", ""Fabrica de Papel - Gemini Enterprise"")","$32,130.00",Stage 3 ➔ Stage 4.1,July,2026-07-05,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Alfredo Esqueda,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000P6GLpIAN"", ""FAPSA - Gemini enterprise"")",0014M00001mrufoQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hOwcwQAC"", ""Corex, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tZASOA2"", ""Laboratorios SANFER - Vertex AI Search #Gemini Enterprise (500 licencias)"")","$300,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-06,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Linnet Jáuregui,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000KrBDIIA3"", ""Laboratorios SANFER -  Vertex AI Search #Gemini Enterprise (400 licencias)"")",0014M00001mrufoQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001pqL3dQAE"", ""Corporación Financiera Atlas, S.A de C.V. SOFOM E.N.R"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf0000082KvaOAE"", ""DataLake Atlas Siniestros Aut"")","$250,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-10,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,3:  Proposal / Negotiation,Rodrigo Cruz Miranda,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000N5Vs3IAF"", ""Seguros Atlas Datalake Siniestros Autos #Commit2026"")",0014M00001mrufoQAA,Progressed
