PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Nubosoft Servicios | Partner Engineer: Ignacio Rauda | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 25 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),6,"$1,330,000.00",2,"$190,000.00",4,"$88,000.00",12,"$1,608,000.00",100.0%,Migrate Modernize and Build,"$134,000.00",Accelerating,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),0,$0.00,0,$0.00,0,$0.00,0,$0.00,0.0%,-,$0.00,Front-Loaded,No Movements
TOTAL WORKLOAD MOVEMENTS,6,"$1,330,000.00",2,"$190,000.00",4,"$88,000.00",12,"$1,608,000.00",100.0%,-,"$134,000.00",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hbLTXQA2"", ""Almacenes Distribuidores de la Frontera, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eN5cOAE"", ""Distribuidora Dana - Looker"")","$60,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-03,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Jesus Gonzalez,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Ka1f5IAB"", ""DISTRIBUIDORA DE MAQUINARIA DEL NORTE S.A. de C.V. L o o k e r"")",0014M00001h36arQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/001Kf000012fmElIAI"", ""Grupo Idesa, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009oZMcOAM"", ""(New) Súper Aki - POC (Nubosoft)(Pablo)(Alvarado)"")","$250,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-04,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Satoshi Falcón,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000MJiDKIA1"", ""(New) Súper Aki - POC (Nubosoft)(Pablo)(Alvarado)"")",0014M00001h36arQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001wv5ekQAA"", ""HR Ratings"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kJPcOAM"", ""HR Ratings - Infra Mod"")","$180,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-05,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Alfredo Esqueda,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OBDsFIAX"", ""HR Ratings - Infra Mod"")",0014M00001h36arQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hOvopQAC"", ""Grupo Octano, S.A. de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kJQkOAM"", ""Octano VMs Nubosoft"")","$120,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-06,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Linnet Jáuregui,Infra AI,Opportunity,0014M00001h36arQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hP9lxQAC"", ""INIX Comercial"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kJRJOA2"", ""INIX Infra Nubosoft"")","$70,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-06,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Linnet Jáuregui,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PPMUlIAP"", ""INIX GCP #Infra #Nubosoft"")",0014M00001h36arQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001sdv7xQAA"", ""Blumon Pay"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009okz6OAA"", ""Klu 2026 WL1 AWS Migration"")","$650,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-09,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Edgar Torres,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OXzJuIAL"", ""Klu 2026 WL1 AWS Migration"")",0014M00001h36arQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hPkSrQAK"", ""Vitalmex Internacional S.A de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eNgxOAE"", ""Vitalmex #Gemini"")","$150,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-05,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,0-2: Tech Eval/Solution Dev,Jesus Gonzalez,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OqnpTIAR"", ""Vitalmex - Vertex AI Search - #Gemini Enterprise"")",0014M00001h36arQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hPkSrQAK"", ""Vitalmex Internacional S.A de C.V."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eN61OAE"", ""Vitalmex - Wiz"")","$40,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-05,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,0-2: Tech Eval/Solution Dev,Jesus Gonzalez,Security,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OqegXIAR"", ""Vitalmex - Wiz"")",0014M00001h36arQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hbOM7QAM"", ""AYVI SA de CV"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eMi4OAE"", ""AYVI - Commit"")","$25,000.00",Stage 0-2 ➔ Stage 3,September,2026-09-10,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Jesus Gonzalez,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OqZ03IAF"", ""AYVI - Commit"")",0014M00001h36arQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hbOM7QAM"", ""AYVI SA de CV"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eUi2OAE"", ""AYVI - Gemini Enterprise"")","$15,000.00",Stage 0-2 ➔ Stage 3,September,2026-09-10,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Jesus Gonzalez,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PjDMRIA3"", ""AYVI S.A. de C.V. G e m i n i E n t e r p r i s e G o o g l e C l o u d"")",0014M00001h36arQAA,Progressed
