PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: QiNetwork | Partner Engineer: Luna Longo | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 21 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),10,"$939,000.00",6,"$620,000.00",0,$0.00,16,"$1,559,000.00",66.7%,Build with AI,"$97,437.50",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),3,"$93,113.00",2,"$204,000.00",3,"$233,000.00",8,"$530,113.00",33.3%,Migrate Modernize and Build,"$66,264.12",Accelerating,Active Progression
TOTAL WORKLOAD MOVEMENTS,13,"$1,032,113.00",8,"$824,000.00",3,"$233,000.00",24,"$2,089,113.00",100.0%,-,"$87,046.38",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hv2gIQAQ"", ""Alupar"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf00000826fdOAA"", ""POC com Veeam Backup - Alupar"")","$38,400.00",Stage 3 ➔ Stage 4.1,July,2026-07-06,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Enio Martins,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000J9VcqIAF"", ""ALUPAR #OUT #DR #OC"")",0014M00001h30rmQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lUmhTQAS"", ""Pátria Investimentos"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZHsbOAG"", ""Gemini Enterprise_Plurix"")","$150,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-13,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Vanessa Moyses,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PMlPlIAL"", ""Commit Plurix"")",0014M00001h30rmQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lUmhTQAS"", ""Pátria Investimentos"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZIiEOAW"", ""GE_Plurix"")","$64,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-13,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Vanessa Moyses,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PO2hCIAT"", ""Gemini Enterprie_Plurix #AWTCorporateSpenderBR"")",0014M00001h30rmQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hKJqwQAG"", ""Pátria Investimentos"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZKKuOAO"", ""Recommit Patria/ GE"")","$63,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-13,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Vanessa Moyses,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000KYyDDIA1"", ""GE Pátria"")",0014M00001h30rmQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hNlbzQAC"", ""Telemont Engenharia de Telecomunicações S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZICqOAO"", ""Ambiente de Infra"")","$50,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-14,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Renan Valadares,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PNDu0IAH"", ""Telemont - EA #AIMBH26"")",0014M00001h30rmQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hWsh6QAC"", ""Pátria Investimentos"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZJNQOA4"", ""Migração AWS"")","$120,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-15,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Vanessa Moyses,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000MMTwlIAH"", ""Commit_Sek_Migração"")",0014M00001h30rmQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hq7VvQAI"", ""Petrorecôncavo S/A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZL8wOAG"", ""PetroReconcavo #GCP #GeminiEnterprise #MQL"")","$90,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-16,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Tamires Peres,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OAu5LIAT"", ""PetroReconcavo #GCP #GeminiEnterprise #MQL"")",0014M00001h30rmQAA,Progressed
