PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Safetec Informática | Partner Engineer: Luna Longo | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 14 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),5,"$272,027.00",3,"$259,000.00",2,"$82,880.00",10,"$613,907.00",83.3%,Build with AI,"$61,390.70",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),0,$0.00,2,"$183,000.00",0,$0.00,2,"$183,000.00",16.7%,Build with AI,"$91,500.00",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,5,"$272,027.00",5,"$442,000.00",2,"$82,880.00",12,"$796,907.00",100.0%,-,"$66,408.92",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001wtRgeQAE"", ""SEDUC BA - Secretaria de Educação do Estado da Bahia"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009dwmHOAQ"", ""Seduc_BA_GCP"")","$60,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-06,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Roberta Jezler,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NzEE3IAN"", ""Seduc_BA_GCP"")",0014M00001h327IQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hY1qCQAS"", ""SERTTEL SOLUCOES EM MOBILIDADE E SEGURANCA URBANA LTDA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009e7NfOAI"", ""Serttel - Gemini Enterprise"")","$63,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-10,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Victor Pimentel,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OQxOkIAL"", ""Serttel - Gemini Enterprise #M26"")",0014M00001h327IQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hKImvQAG"", ""Biolab Farmaceutica"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZLZcOAO"", ""BIOLAB - GEMINI ENTERPRISE"")","$10,627.00",Stage 0-2 ➔ Stage 3,July,2026-07-15,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.3: Migrated/Implemented,Jose Sales Andrade,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OK1ceIAD"", ""Biolab #M26"")",0014M00001h327IQAQ,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hc94dQAA"", ""Empresa de Pesquisa Agropecuaria e Extensao Rural de Santa Catarina"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WCm6OAG"", ""GE - EPAGRI | 260 seats"")","$100,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-21,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Andrea Rodacki,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PXEX5IAP"", ""EPAGRI SC - Gemini Enterprise Plus #GE #M26"")",0014M00001h327IQAQ,Progressed
