PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Sauter Tecnologia | Partner Engineer: Thiago da Ponte | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 16 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),5,"$1,302,456.04",6,"$1,819,297.40",2,"$560,000.00",13,"$3,681,753.44",52.0%,Analytics,"$283,211.80",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),5,"$879,501.64",4,"$1,912,299.04",3,"$760,000.00",12,"$3,551,800.68",48.0%,Analytics,"$295,983.39",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,10,"$2,181,957.68",10,"$3,731,596.44",5,"$1,320,000.00",25,"$7,233,554.12",100.0%,-,"$289,342.16",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001meE09QAE"", ""ATHENA HEALTHCARE HOLDING S.A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009oezAOAQ"", ""AI analise exames_Athena"")","$60,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-02,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Jose Sales Andrade,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NDreRIAT"", ""Athena Saúde SOW Specialized Agent for Medical Summaries"")",0014M00001mnmgxQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hVlKWQA0"", ""ONEBOX.ONE"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tPOyOAM"", ""ONEBOX - DATABASE"")","$90,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-13,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,3:  Proposal / Negotiation,Rafael Sanabio,Migrate and Modernize Databases,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NRr8QIAT"", ""Onebox.one - Migração AWS - #GCP #OUT #BR #SalesCreditPOC"")",0014M00001mnmgxQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001meE09QAE"", ""ATHENA HEALTHCARE HOLDING S.A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZJV9OAO"", ""Projeto Saude_Athena"")","$88,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-13,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Vanessa Moyses,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OTKeVIAX"", ""Athena Saúde"")",0014M00001mnmgxQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hUUbKQAW"", ""ZAMP SA (Burger King e Popeyes Brasil)"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kENgOAM"", ""ZAMP - Infra Migration from AWS"")","$100,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-20,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Danilo Matos,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OYnvrIAD"", ""ZAMP S.A. /$ 4.6M TCV / 3YRS"")",0014M00001mnmgxQAA,Progressed
