PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: SoftwareOne | Partner Engineer: Wanda Flores | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 16 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),0,$0.00,2,"$331,236.12",0,$0.00,2,"$331,236.12",66.7%,Migrate Modernize and Build,"$165,618.06",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),0,$0.00,1,"$243,156.00",0,$0.00,1,"$243,156.00",33.3%,Migrate Modernize and Build,"$243,156.00",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,0,$0.00,3,"$574,392.12",0,$0.00,3,"$574,392.12",100.0%,-,"$191,464.04",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hYrRCQA0"", ""Grupo Ramos"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eOIhOAM"", ""Grupo Ramos Infra SAP CAR Full Landscape"")","$243,156.00",Stage 3 ➔ Stage 4.1,August,2026-08-17,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Diana Cuevas Jurney,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Lie8yIAB"", ""Grupo Ramos SA/$1.7M TCV/3 YR"")",0014M0000200G6AQAU,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hYrRCQA0"", ""Grupo Ramos"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eTEBOA2"", ""Grupo Ramos 30% Migration"")","$217,236.12",Stage 0-2 ➔ Stage 3,August,2026-08-27,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Diana Cuevas Jurney,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Lie8yIAB"", ""Grupo Ramos SA/$1.7M TCV/3 YR"")",0014M0000200G6AQAU,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001n6R0bQAE"", ""CRYSTAL"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eQWWOA2"", ""FY26-Crystal #Out #GE"")","$114,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-28,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Jorge Armando Barrios,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Pi0wdIAB"", ""FY26-Crystal #Out #GE"")",0014M0000200G6AQAU,Progressed
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,16,23,9,48,25,33.3%,47.9%,18.8%,Artificial Intelligence,Gemini Enterprise Agent Platform,🔥 High,P20220602058,Active Progression
Tier 3 ➔ Tier 2,12,7,4,23,15,52.2%,30.4%,17.4%,Infrastructure Modernization,Google Cloud Networking,🔥 High,P20220602058,Active Progression
Tier 2 ➔ Tier 1,0,0,0,0,0,0.0%,0.0%,0.0%,-,-,🌱 Emerging,P20220602058,No Upgrades
TOTAL DRP TIER PROMOTIONS,28,30,13,71,31,39.4%,42.3%,18.3%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
Application Modernization,Apigee API Management,1,0,0,1,1,0,0,1,P20220602058,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Application Modernization,Cloud Run,1,2,0,3,2,1,0,3,P20220602058,🚀 Steady Growth (3-9),Tier 3 ➔ Tier 2,Active
Application Modernization,Google Kubernetes Engine,4,3,0,7,4,2,1,6,P20220602058,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,AI Applications,3,0,0,3,1,1,1,3,P20220602058,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,GECX - CX Agent Studio,1,0,0,1,0,0,1,1,P20220602058,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise,8,4,0,12,4,6,2,10,P20220602058,🔥 High Velocity (10+),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise Agent Platform,11,2,0,13,3,7,3,13,P20220602058,🔥 High Velocity (10+),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise for Customer Experience,1,0,0,1,0,1,0,1,P20220602058,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Data & Analytics,BigQuery,1,0,0,1,1,0,0,1,P20220602058,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Databases,AlloyDB for PostgreSQL,1,0,0,1,0,1,0,1,P20220602058,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Databases,Cloud SQL,1,0,0,1,0,1,0,1,P20220602058,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Databases,Spanner,1,0,0,1,0,1,0,1,P20220602058,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Google Cloud Networking,3,5,0,8,3,2,3,6,P20220602058,🚀 Steady Growth (3-9),Tier 3 ➔ Tier 2,Active
Infrastructure Modernization,Google Compute Engine,4,2,0,6,3,2,1,6,P20220602058,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Google Distributed Cloud,1,1,0,2,1,1,0,2,P20220602058,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,SAP on Google Cloud,1,0,0,1,0,1,0,1,P20220602058,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Security,Cloud Security,4,1,0,5,3,1,1,5,P20220602058,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Security,Google Threat Intelligence,1,0,0,1,0,1,0,1,P20220602058,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
