PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Super Software | Partner Engineer: Fernando Laguna | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 21 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),4,"$649,000.00",4,"$259,101.00",0,$0.00,8,"$908,101.00",61.5%,Build with AI,"$113,512.62",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),3,"$599,000.00",2,"$104,000.00",0,$0.00,5,"$703,000.00",38.5%,Developer AI Assistance,"$140,600.00",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,7,"$1,248,000.00",6,"$363,101.00",0,$0.00,13,"$1,611,101.00",100.0%,-,"$123,930.85",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001kOqPtQAK"", ""Sociedad de Creditos Automotrices SA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tDeFOAU"", ""Gemini Enterprise Amicar"")","$50,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-07,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Jilver Tyson Fuentes,Developer AI Assistance,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000LzOheIAF"", ""Gemini Enterprise Amicar"")",0014M00001p45vjQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001kOqPtQAK"", ""Sociedad de Creditos Automotrices SA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tDeFOAU"", ""Gemini Enterprise Amicar"")","$50,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-08,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Closed,Jilver Tyson Fuentes,Developer AI Assistance,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000LzOheIAF"", ""Gemini Enterprise Amicar"")",0014M00001p45vjQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002JWlJPQA1"", ""Servicios Financieros BCI"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WB06OAG"", ""[GECX] LiderBCI - #CXAgentStudio - BackOffice - WL"")","$504,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-14,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.3: Migrated/Implemented,Raphael Laxe,Customer Engagement,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PHDknIAH"", ""[GECX] LiderBCI - #CXAgentStudio - BackOffice"")",0014M00001p45vjQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002JWlJPQA1"", ""Servicios Financieros BCI"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WB06OAG"", ""[GECX] LiderBCI - #CXAgentStudio - BackOffice - WL"")","$504,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-14,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Raphael Laxe,Customer Engagement,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PHDknIAH"", ""[GECX] LiderBCI - #CXAgentStudio - BackOffice"")",0014M00001p45vjQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hbkZXQAY"", ""Distribuidora & Importadora Dimarsa Limitada"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tDqwOAE"", ""Dimarsa Gemini Enterprise"")","$50,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-15,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Jilver Tyson Fuentes,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000MLwvQIAT"", ""Dimarsa Gemini Enterprise  #AIMSCL26"")",0014M00001p45vjQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hVi9DQAS"", ""Mediastream SpA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZLzjOAG"", ""BQ Mundial Mediastream"")","$45,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-21,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.3: Migrated/Implemented,Felipe Albertini,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PX6UvIAL"", ""Consumo Mundial Mediastream"")",0014M00001p45vjQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hVi9DQAS"", ""Mediastream SpA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZLzjOAG"", ""BQ Mundial Mediastream"")","$45,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-23,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Felipe Albertini,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PX6UvIAL"", ""Consumo Mundial Mediastream"")",0014M00001p45vjQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001h5bRxQAI"", ""Compania Electro Metalurgica SA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WDY0OAO"", ""DF - WL Gemini Enterprise - Tiga"")","$10,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-04,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Jilver Tyson Fuentes,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PW72CIAT"", ""#AIMSCL26 Gemini Enterprise - Diario Financiero"")",0014M00001p45vjQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001h5bRxQAI"", ""Compania Electro Metalurgica SA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WDY0OAO"", ""DF - WL Gemini Enterprise - Tiga"")","$10,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-07,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Jilver Tyson Fuentes,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PW72CIAT"", ""#AIMSCL26 Gemini Enterprise - Diario Financiero"")",0014M00001p45vjQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002JWlJPQA1"", ""Servicios Financieros BCI"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WDYtOAO"", ""WL CX Insights - Concession"")","$60,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-12,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.2: Ramping / Deliver,Francisca Tapia,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Of5aTIAR"", ""CX Insights - Concession"")",0014M00001p45vjQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hS0lPQAS"", ""TVN Chile"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tbvQOAQ"", ""TVN - WL GCP M2C - Tiga"")","$150,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-21,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Claudia Cermeli,Migrate and Modernize Databases,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000M1JeOIAV"", ""TVN CHILE - GCP M2C - Tiga"")",0014M00001p45vjQAA,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hRPL2QAO"", ""Empresas Lipigas S.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZNL2OAO"", ""[Lipigas] SCC + GCBDR"")","$94,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-31,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Francisco Valenzuela,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000M6igyIAB"", ""Super Software Spa,/ $3.2M TCV / 4 Yr"")",0014M00001p45vjQAA,Progressed
