PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Tech Pulse SPA (Axmos) | Partner Engineer: Oliver Hartley | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 16 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),3,"$325,833.00",2,"$62,000.00",1,"$18,364.00",6,"$406,197.00",60.0%,Migrate and Modernize Databases,"$67,699.50",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),3,"$377,728.00",1,"$12,000.00",0,$0.00,4,"$389,728.00",40.0%,Migrate Modernize and Build,"$97,432.00",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,6,"$703,561.00",3,"$74,000.00",1,"$18,364.00",10,"$795,925.00",100.0%,-,"$79,592.50",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hRPMWQA4"", ""Cencosud S.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZDaxOAG"", ""[Cencosud] - Oracle DataBase@Google Cloud - Exadata  - Marketplace #Oracle"")","$292,728.00",Stage 3 ➔ Stage 4.1,July,2026-07-03,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Germán Pabón,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000N4mdsIAB"", ""Cencosud - Recommit Q1 2026 #microsoft"")",0014M00002JmizDQAR,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lSboRQAS"", ""Willax Television"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tcjuOAA"", ""Willax Wong | Migración SAC a BQ"")","$25,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-03,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Arianne Mahuad Escardo,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Op9xrIAB"", ""Willax Wong  | Commit 3Y FY26-FY29"")",0014M00002JmizDQAR,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002789JPQAY"", ""Empresas Iansa S.A."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tbuDOAQ"", ""IANSA - SAP DataLake"")","$60,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-13,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Claudia Cermeli,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000JLbvzIAD"", ""Iansa Commit 3 años"")",0014M00002JmizDQAR,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001lFqCrQAK"", ""Intercorp Peru Ltd."")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009W6qHOAS"", ""Izipay - Real Time Project GCP"")","$150,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-16,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Chiara Ascenzo Forero,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NgO3GIAV"", ""Izipay - Real time data project"")",0014M00002JmizDQAR,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M0000202KgkQAE"", ""KOBA Colombia SAS"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009dzbZOAQ"", ""D1 - DB Switch transaccional Cloud SQL"")","$40,428.00",Stage 0-2 ➔ Stage 3,July,2026-07-23,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.2: Ramping / Deliver,Harold Zuluaga,Migrate and Modernize Databases,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OFLDuIAP"", ""D1 - DB Switch transaccional Cloud SQL"")",0014M00002JmizDQAR,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hd6LDQAY"", ""TERPEL"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000006MaNNOA0"", ""Terpel - DB Migration program - SQL Server to CloudSQL"")","$135,405.00",Stage 0-2 ➔ Stage 3,July,2026-07-31,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Juan Carlos Florez,Migrate and Modernize Databases,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000KhXEUIA3"", ""Terpel DB Migration program - SQL Server to CloudSQL"")",0014M00002JmizDQAR,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M0000202KgkQAE"", ""KOBA Colombia SAS"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009WDA3OAO"", ""D1 - Proyectos nativos GCP"")","$50,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-19,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Paula Urbano,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000JLh4UIAT"", ""KOBA Colombia SAS/ $1,546,000 TCV/3 YR"")",0014M00002JmizDQAR,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M0000202KgkQAE"", ""KOBA Colombia SAS"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZNvUOAW"", ""D1 - DB AWS postgre to Cloud SQL for postgre"")","$12,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-24,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.2: Ramping / Deliver,Harold Zuluaga,Migrate and Modernize Databases,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PiIkBIAV"", ""D1 - DB AWS postgre to Cloud SQL for postgre"")",0014M00002JmizDQAR,Progressed
