PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: Tigabytes | Partner Engineer: Fernando Laguna | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 25 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),0,$0.00,0,$0.00,0,$0.00,0,$0.00,0.0%,-,$0.00,Front-Loaded,No Movements
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),0,$0.00,0,$0.00,0,$0.00,0,$0.00,0.0%,-,$0.00,Front-Loaded,No Movements
TOTAL WORKLOAD MOVEMENTS,0,$0.00,0,$0.00,0,$0.00,0,$0.00,100.0%,-,$0.00,-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
No stage advancements recorded for this partner in Q3 2026 (July - September),,,,,,,,,,,,,
,,,,,,,,,,,,,
"2. DRP GROWTH: PRACTITIONER TIER PROMOTIONS (T4➔T3, T3➔T2, T2➔T1)",,,,,,,,,,,,,
Tier Transition,July Upgrades,August Upgrades,September Upgrades,Q3 Total Upgrades,Unique Profiles,July % Share,August % Share,September % Share,Top Practice Area,Top Product,Growth Velocity,DRP Partner Key,Status
Tier 4 ➔ Tier 3,22,12,12,46,22,47.8%,26.1%,26.1%,Artificial Intelligence,Gemini Enterprise,🔥 High,P20220602092,Active Progression
Tier 3 ➔ Tier 2,10,13,14,37,18,27.0%,35.1%,37.8%,Artificial Intelligence,Gemini Enterprise,🔥 High,P20220602092,Active Progression
Tier 2 ➔ Tier 1,7,5,10,22,17,31.8%,22.7%,45.5%,Artificial Intelligence,Workspace,🔥 High,P20220602092,Active Progression
TOTAL DRP TIER PROMOTIONS,39,30,36,105,32,37.1%,28.6%,34.3%,-,-,-,-,-
,,,,,,,,,,,,,
PRACTICE AREA & PRODUCT TIER PROGRESSION TABLE,,,,,,,,,,,,,
Practice Area,Product,Tier 4 ➔ Tier 3,Tier 3 ➔ Tier 2,Tier 2 ➔ Tier 1,Total Upgrades,July Upgrades,August Upgrades,September Upgrades,Unique Profiles,DRP Partner Key,Growth Velocity Rating,Primary Upgrade Stage,Status
Application Modernization,Cloud Run,2,0,0,2,1,1,0,2,P20220602092,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Application Modernization,Google Kubernetes Engine,2,1,0,3,1,1,1,3,P20220602092,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,AI Applications,2,1,0,3,0,2,1,2,P20220602092,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,GECX - Agent Assist,0,1,0,1,0,0,1,1,P20220602092,🌱 Emerging (1-2),Tier 3 ➔ Tier 2,Active
Artificial Intelligence,GECX - CCaaS,2,2,0,4,0,0,4,4,P20220602092,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,GECX - CX Agent Studio,3,1,0,4,0,0,4,4,P20220602092,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,GECX - CX Insights,3,2,0,5,0,0,5,5,P20220602092,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise,11,8,4,23,14,8,1,14,P20220602092,🔥 High Velocity (10+),Tier 4 ➔ Tier 3,Active
Artificial Intelligence,Gemini Enterprise Agent Platform,5,6,6,17,8,5,4,9,P20220602092,🔥 High Velocity (10+),Tier 3 ➔ Tier 2,Active
Artificial Intelligence,Gemini Enterprise for Customer Experience,2,2,0,4,2,2,0,3,P20220602092,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Data & Analytics,BigQuery,2,1,0,3,1,0,2,2,P20220602092,🚀 Steady Growth (3-9),Tier 4 ➔ Tier 3,Active
Data & Analytics,Dataflow,1,0,0,1,0,0,1,1,P20220602092,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Data & Analytics,Looker,0,0,1,1,1,0,0,1,P20220602092,🌱 Emerging (1-2),Tier 2 ➔ Tier 1,Active
Databases,Cloud SQL,0,1,0,1,0,1,0,1,P20220602092,🌱 Emerging (1-2),Tier 3 ➔ Tier 2,Active
Infrastructure Modernization,Google Cloud Networking,1,0,0,1,1,0,0,1,P20220602092,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Google Cloud VMware Engine,1,0,0,1,0,1,0,1,P20220602092,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Infrastructure Modernization,Google Compute Engine,2,2,4,8,2,2,4,6,P20220602092,🚀 Steady Growth (3-9),Tier 2 ➔ Tier 1,Active
Security,Cloud Security,1,1,0,2,0,2,0,2,P20220602092,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Security,Security Command Center,1,0,1,2,1,1,0,2,P20220602092,🌱 Emerging (1-2),Tier 4 ➔ Tier 3,Active
Workspace,Workspace,5,8,6,19,7,4,8,14,P20220602092,🔥 High Velocity (10+),Tier 3 ➔ Tier 2,Active
TOTAL,-,46,37,22,105,39,30,36,32,-,-,-,-
,,,,,,,,,,,,,
PRACTITIONER PROFILES PROGRESSION DETAIL (INDIVIDUAL LEVEL TRANSITIONS),,,,,,,,,,,,,
Profile ID,Practice Area,Product,Tier Movement,Transition Month,Transition Date,Previous Score,New Score,Score Delta,Previous Tier,New Tier,DRP Partner Key,Promotion Type,Status
TIGARMEO8,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-01,32.0,37.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGJATPQ4,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-01,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGSMDFT3,Infrastructure Modernization,Google Compute Engine,Tier 3 ➔ Tier 2,July,2026-07-01,33.0,38.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGLSCNG9,Artificial Intelligence,Gemini Enterprise for Customer Experience,Tier 4 ➔ Tier 3,July,2026-07-02,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGCCQNL3,Workspace,Workspace,Tier 4 ➔ Tier 3,July,2026-07-07,19.0,34.0,+15.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGTMWVI1,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-08,18.0,23.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGFSCGF6,Workspace,Workspace,Tier 2 ➔ Tier 1,July,2026-07-10,39.0,64.0,+25.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGGRFYA0,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-11,15.0,26.0,+11.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGGRFYA0,Workspace,Workspace,Tier 4 ➔ Tier 3,July,2026-07-11,10.0,31.0,+21.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGFMGEB7,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-12,15.0,30.0,+15.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGCSQQU0,Workspace,Workspace,Tier 4 ➔ Tier 3,July,2026-07-15,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGCSQQU0,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-17,19.0,29.0,+10.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGCSQQU0,Application Modernization,Google Kubernetes Engine,Tier 4 ➔ Tier 3,July,2026-07-22,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGARMEO8,Artificial Intelligence,Gemini Enterprise,Tier 2 ➔ Tier 1,July,2026-07-22,47.0,52.0,+5.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGCAFLU5,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-22,10.0,20.0,+10.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGRFRDQ2,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-22,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGCSQQU0,Infrastructure Modernization,Google Cloud Networking,Tier 4 ➔ Tier 3,July,2026-07-22,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGCSQQU0,Infrastructure Modernization,Google Compute Engine,Tier 4 ➔ Tier 3,July,2026-07-22,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGUSEIP2,Security,Security Command Center,Tier 2 ➔ Tier 1,July,2026-07-22,48.0,53.0,+5.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGTMWVI1,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-23,28.0,38.0,+10.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGCCJDA4,Workspace,Workspace,Tier 4 ➔ Tier 3,July,2026-07-23,15.0,25.0,+10.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGCSQQU0,Application Modernization,Cloud Run,Tier 4 ➔ Tier 3,July,2026-07-24,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGGRFYA0,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-24,26.0,36.0,+10.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGGRFYA0,Workspace,Workspace,Tier 3 ➔ Tier 2,July,2026-07-24,31.0,46.0,+15.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGABKUE3,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,July,2026-07-25,17.0,22.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGFSCGF6,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-25,34.0,44.0,+10.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGABKUE3,Artificial Intelligence,Gemini Enterprise for Customer Experience,Tier 4 ➔ Tier 3,July,2026-07-25,12.0,22.0,+10.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGABKUE3,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-25,17.0,22.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGABKUE3,Data & Analytics,Looker,Tier 2 ➔ Tier 1,July,2026-07-25,47.0,52.0,+5.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGARMEO8,Workspace,Workspace,Tier 4 ➔ Tier 3,July,2026-07-25,12.0,27.0,+15.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGPHQBE9,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,July,2026-07-26,49.0,54.0,+5.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGFSCGF6,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,July,2026-07-28,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGRFRDQ2,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-29,25.0,45.0,+20.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGRFRDQ2,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-29,20.0,35.0,+15.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGRFRDQ2,Data & Analytics,BigQuery,Tier 4 ➔ Tier 3,July,2026-07-29,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGFSCGF6,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,July,2026-07-30,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGFSCGF6,Artificial Intelligence,Gemini Enterprise,Tier 2 ➔ Tier 1,July,2026-07-31,49.0,54.0,+5.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGCSQQU0,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,July,2026-07-31,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGRFRDQ2,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,July,2026-07-31,45.0,54.0,+9.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGFMGEB7,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,August,2026-08-01,30.0,40.0,+10.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGFMGEB7,Artificial Intelligence,Gemini Enterprise for Customer Experience,Tier 3 ➔ Tier 2,August,2026-08-01,30.0,35.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGFMGEB7,Artificial Intelligence,AI Applications,Tier 4 ➔ Tier 3,August,2026-08-02,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGCSQQU0,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,August,2026-08-02,14.0,24.0,+10.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGFMGEB7,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 4 ➔ Tier 3,August,2026-08-04,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGMMMVD2,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-04,19.0,29.0,+10.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGFMGEB7,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 3 ➔ Tier 2,August,2026-08-06,30.0,35.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGMIMHS2,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-07,19.0,29.0,+10.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGCSQQU0,Artificial Intelligence,Gemini Enterprise,Tier 2 ➔ Tier 1,August,2026-08-08,49.0,59.0,+10.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGCSQQU0,Security,Cloud Security,Tier 4 ➔ Tier 3,August,2026-08-08,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGCSQQU0,Workspace,Workspace,Tier 3 ➔ Tier 2,August,2026-08-08,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGLSCNG9,Artificial Intelligence,Gemini Enterprise for Customer Experience,Tier 3 ➔ Tier 2,August,2026-08-09,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGLSCNG9,Artificial Intelligence,AI Applications,Tier 4 ➔ Tier 3,August,2026-08-09,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGLSCNG9,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,August,2026-08-09,34.0,49.0,+15.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGCERFA3,Application Modernization,Cloud Run,Tier 4 ➔ Tier 3,August,2026-08-11,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGCERFA3,Databases,Cloud SQL,Tier 3 ➔ Tier 2,August,2026-08-11,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGFMGEB7,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,August,2026-08-12,35.0,50.0,+15.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGLSCNG9,Artificial Intelligence,Gemini Enterprise Agent Platform,Tier 2 ➔ Tier 1,August,2026-08-13,49.0,54.0,+5.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGJATPQ4,Infrastructure Modernization,Google Compute Engine,Tier 3 ➔ Tier 2,August,2026-08-14,30.0,35.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGMIMHS2,Workspace,Workspace,Tier 3 ➔ Tier 2,August,2026-08-14,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGMIMHS2,Artificial Intelligence,Gemini Enterprise,Tier 3 ➔ Tier 2,August,2026-08-15,34.0,39.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGJCAKV5,Infrastructure Modernization,Google Compute Engine,Tier 4 ➔ Tier 3,August,2026-08-15,10.0,20.0,+10.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGJATPQ4,Security,Cloud Security,Tier 3 ➔ Tier 2,August,2026-08-15,30.0,35.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGMIMHS2,Infrastructure Modernization,Google Cloud VMware Engine,Tier 4 ➔ Tier 3,August,2026-08-16,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGARMEO8,Workspace,Workspace,Tier 3 ➔ Tier 2,August,2026-08-16,32.0,42.0,+10.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGJATPQ4,Application Modernization,Google Kubernetes Engine,Tier 3 ➔ Tier 2,August,2026-08-20,30.0,35.0,+5.0,Tier 3,Tier 2,P20220602092,Tier Upgrade,Promoted
TIGGRFYA0,Artificial Intelligence,Gemini Enterprise,Tier 2 ➔ Tier 1,August,2026-08-20,46.0,56.0,+10.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGJATPQ4,Security,Security Command Center,Tier 4 ➔ Tier 3,August,2026-08-20,10.0,20.0,+10.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGGRFYA0,Workspace,Workspace,Tier 2 ➔ Tier 1,August,2026-08-20,46.0,51.0,+5.0,Tier 2,Tier 1,P20220602092,Tier Upgrade,Promoted
TIGICDMG4,Artificial Intelligence,Gemini Enterprise,Tier 4 ➔ Tier 3,August,2026-08-26,10.0,20.0,+10.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGPHQBE9,Artificial Intelligence,GECX - CX Insights,Tier 4 ➔ Tier 3,September,2026-09-01,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGLSCNG9,Artificial Intelligence,GECX - CX Insights,Tier 4 ➔ Tier 3,September,2026-09-01,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGDPBYM2,Artificial Intelligence,GECX - CCaaS,Tier 4 ➔ Tier 3,September,2026-09-01,18.0,28.0,+10.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGPHQBE9,Artificial Intelligence,GECX - CCaaS,Tier 4 ➔ Tier 3,September,2026-09-01,19.0,24.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGFMGEB7,Artificial Intelligence,GECX - CX Agent Studio,Tier 4 ➔ Tier 3,September,2026-09-01,15.0,25.0,+10.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
TIGFMGEB7,Artificial Intelligence,GECX - CX Insights,Tier 4 ➔ Tier 3,September,2026-09-01,15.0,20.0,+5.0,Tier 4,Tier 3,P20220602092,Tier Upgrade,Promoted
