PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: UCLOUD STORE COLOMBIA S A S | Partner Engineer: Ignacio Rauda | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 25 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),3,"$194,000.00",0,$0.00,1,"$7,200.00",4,"$201,200.00",66.7%,Build with AI,"$50,300.00",Accelerating,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),2,"$60,000.00",0,$0.00,0,$0.00,2,"$60,000.00",33.3%,Migrate Modernize and Build,"$30,000.00",Front-Loaded,Active Progression
TOTAL WORKLOAD MOVEMENTS,5,"$254,000.00",0,$0.00,1,"$7,200.00",6,"$261,200.00",100.0%,-,"$43,533.33",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hWtN4QAK"", ""AUTOTECNICA COLOMBIANA S A S"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tSEhOAM"", ""Auteco_ vtex Iaas"")","$50,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-01,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.3: Migrated/Implemented,Andrea Forero,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NOGJ1IAP"", ""Auteco_ vtex Iaas #LAM"")",0014M00002M7lcJQAR,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hd6KHQAY"", ""GRUPO ARGOS S A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009tcziOAA"", ""PD Celsia computo 10K"")","$10,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-07,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.3: Migrated/Implemented,Pedro Diaz Moreno,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OQnDrIAL"", ""Celsia #GCP"")",0014M00002M7lcJQAR,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M000029T6o5QAC"", ""Bewe Software Colombia S A S"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eOhNOAU"", ""bewe - Ondemand platform"")","$36,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-20,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.3: Migrated/Implemented,Dario Palma Villarreal,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PihWoIAJ"", ""FY26-Bewe #out #Ondemand Plataform"")",0014M00002M7lcJQAR,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002RRNIaQAP"", ""BIA ENERGY S A S E S P"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eOi6OAE"", ""Bia Energy - Migración de cargas"")","$108,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-21,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Dario Palma Villarreal,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Or7KlIAJ"", ""Bia Energy - Migracion Cargas on demand"")",0014M00002M7lcJQAR,Progressed
