PARTNER GROWTH & VELOCITY: WORKLOAD STAGE PROGRESSION & DRP CAPABILITY,,,,,,,,,,,,,
"Partner: VPN Soluçoes em TI LTDA (Venha para Nuvem) | Partner Engineer: Luna Longo | Scope: Q3 2026 (July, August, September)",,,,,,,,,,,,,
Last Sync: 15 - Sep 2026 | Source: Concord BigQuery (Workload History & DRP Master) | Unified 14-Col Schema,,,,,,,,,,,,,
,,,,,,,,,,,,,
1. WORKLOAD GROWTH: STAGE ADVANCEMENTS (0-2 ➔ 3 & 3 ➔ 4.1),,,,,,,,,,,,,
Stage Transition,July (#),July ($ ARR),August (#),August ($ ARR),September (#),September ($ ARR),Q3 Total (#),Q3 Total ($ ARR),Share of Moved Deals,Top Pillar,Avg Deal ARR,Velocity Momentum,Status
Stage 0-2 ➔ Stage 3 (Co-Pilot & Develop),5,"$401,680.00",12,"$1,028,183.76",2,"$285,000.00",19,"$1,714,863.76",73.1%,Build with AI,"$90,255.99",Consistent,Active Progression
Stage 3 ➔ Stage 4.1 (Build & Run / Delivery),3,"$153,000.00",4,"$302,000.00",0,$0.00,7,"$455,000.00",26.9%,Build with AI,"$65,000.00",Consistent,Active Progression
TOTAL WORKLOAD MOVEMENTS,8,"$554,680.00",16,"$1,330,183.76",2,"$285,000.00",26,"$2,169,863.76",100.0%,-,"$83,456.30",-,-
,,,,,,,,,,,,,
ADVANCED WORKLOADS INVENTORY (Q3 STAGE MOVEMENTS DETAIL),,,,,,,,,,,,,
Customer Account Name,Workload Name,Annual Gross Revenue (ARR USD),Stage Movement,Transition Month,Transition Date,Previous Progress,New Progress,Current Progress,Workload Owner,Primary Pillar,Opportunity Name,Partner ID,Status
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001rbM4iQAE"", ""Afya Educacional"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eIoSOAU"", ""AFYA - Azure to GCP Migration"")","$120,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-08,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,0-2: Tech Eval/Solution Dev,Fabio Negreiros,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OpdCgIAJ"", ""AFYA - Azure to GCP Migration"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hMvJ8QAK"", ""MARAJO REDE DE SERVICOS S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009e9neOAA"", ""Gemini Enterprise - Rede Marajó"")","$63,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-13,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Tamires Peres,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OTaOVIA1"", ""Gemini Enterprise - Rede Marajó"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hMvJ8QAK"", ""MARAJO REDE DE SERVICOS S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eCeNOAU"", ""Grupo Marajó #MIGRAÇÃO #GCP #OUT"")","$60,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-13,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Tamires Peres,Migrate and Modernize Databases,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NSk2VIAT"", ""Grupo Marajó #MIGRAÇÃO #GCP #OUT(Azure / AWS)"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hXy84QAC"", ""CALLINK SERVICOS DE CALL CENTER LTDA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZLo7OAG"", ""Callink - Projeto de Dados"")","$30,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-17,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Renan Valadares,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PWewDIAT"", ""Callink - Projeto de Dados"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hUMoVQAW"", ""Instituto das Pequenas Missionarias de Maria Imaculada"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZL83OAG"", ""Rede Madre - Winback OCI -"")","$190,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-20,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Renan Valadares,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000PVlDqIAL"", ""Winback - OCI"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hUd6JQAS"", ""SINAGRO PRODUTOS AGROPECUARIOS SA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZAgkOAG"", ""SINAGRO #LOOKER #GCP #OUT"")","$30,000.00",Stage 0-2 ➔ Stage 3,July,2026-07-20,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Renan Valadares,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Op1iIIAR"", ""SINAGRO #LOOKER #GCP #OUT"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hUd6JQAS"", ""SINAGRO PRODUTOS AGROPECUARIOS SA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZAgkOAG"", ""SINAGRO #LOOKER #GCP #OUT"")","$30,000.00",Stage 3 ➔ Stage 4.1,July,2026-07-20,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Renan Valadares,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Op1iIIAR"", ""SINAGRO #LOOKER #GCP #OUT"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hMvJ8QAK"", ""MARAJO REDE DE SERVICOS S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZMZEOA4"", ""MARAJO REDE DE SERVICOS S/A-Renewal-Gemini Enterprise Linear-2027"")","$31,680.00",Stage 0-2 ➔ Stage 3,July,2026-07-24,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.2: Ramping / Deliver,Tamires Peres,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Ops3mIAB"", ""MARAJO REDE DE SERVICOS S/A-Renewal-Gemini Enterprise Linear-2027"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hY61hQAC"", ""Ancar Administradora de Shopping Centers"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009kLGhOAM"", ""Ancar | Agent Platform [Apigee]"")","$40,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-07,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,Closed,Daniela Benevides,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OC0LGIA1"", ""Ancar | Apigee #2"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hvUAvQAM"", ""Grupo Poly"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009ePXTOA2"", ""Grupo Poly - Gemini Platform"")","$60,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-10,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Victor Pimentel,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Of38wIAB"", ""Grupo Poly #GCP #GeminiPlatform"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001huHMGQA2"", ""Grupo Marista"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJ4M000000POuEWAW"", ""[MARISTA] Governança de Dados - Marcel Silva #OUT #GCP"")","$50,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-10,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.2: Ramping / Deliver,Sandra Sagara,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000JOyTCIA1"", ""Grupo Marista / $4.8M TCV / 3 YRS #DMTOOLKIT"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001h5VPNQA2"", ""Innovaro"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009onuzOAA"", ""Infra Modernization"")","$135,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-11,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Victor Pimentel,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Oss61IAB"", ""Innovaro #GCP Commit"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hkbnGQAQ"", ""Dafiti Brazil"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZOXYOA4"", ""[Dafiti] Customer Flywheel"")","$61,109.76",Stage 0-2 ➔ Stage 3,August,2026-08-12,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Mariana Martins Vasconcelos,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Pij8CIAR"", ""[Dafiti] Customer Flywheel"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001huHMGQA2"", ""Grupo Marista"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJ4M000000POuEWAW"", ""[MARISTA] Governança de Dados - Marcel Silva #OUT #GCP"")","$50,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-14,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.2: Ramping / Deliver,Sandra Sagara,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000JOyTCIA1"", ""Grupo Marista / $4.8M TCV / 3 YRS #DMTOOLKIT"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hY61hQAC"", ""Ancar Administradora de Shopping Centers"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009olm8OAA"", ""Ancar | Vertex AI"")","$10,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-20,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Daniela Benevides,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000ORQbdIAH"", ""Ancar | Agentes de IA"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hMvJ8QAK"", ""MARAJO REDE DE SERVICOS S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009e41jOAA"", ""Pegapontos | Move2GCP (Azure / Algar)"")","$48,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-24,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Tamires Peres,Migrate and Modernize Databases,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000NzWvfIAF"", ""Pegapontos ( G, Marajó) | Move2GCP"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hMvJ8QAK"", ""MARAJO REDE DE SERVICOS S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZPrKOAW"", ""Migracao Ambiente AWS e AZURE"")","$150,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-25,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,Renan Valadares,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000ORQWdIAP"", ""MARAJO - EA ( Dados + predição de preços com IA)"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hMvJ8QAK"", ""MARAJO REDE DE SERVICOS S/A"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZPrKOAW"", ""Migracao Ambiente AWS e AZURE"")","$150,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-25,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Renan Valadares,Migrate Modernize and Build,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000ORQWdIAP"", ""MARAJO - EA ( Dados + predição de preços com IA)"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001me6vzQAA"", ""Wildlife Studios"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZBvKOAW"", ""[Wildlife] Gemini Enterprise Activation Seats"")","$70,074.00",Stage 0-2 ➔ Stage 3,August,2026-08-25,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Mariana Martins Vasconcelos,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000N4lpmIAB"", ""[Wildlife] Gemini Enterprise Activation Seats"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001higWwQAI"", ""FAST2 MINE TECNOLOGIA E DESENVOLVIMENTO DE SISTEMAS LTDA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009ePJHOA2"", ""Fast2Mine - GeminiPlatform (VertexAI)"")","$200,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-27,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Victor Pimentel,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Of2viIAB"", ""Fast2Mine #GCP #GeminiPlatform #SalesCreditPOC"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001k1kWnQAI"", ""SUDOESTE INFORMATICA E CONSULTORIA EIRELI"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009ePJIOA2"", ""Sudoeste - GeminiEnterprise"")","$120,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-27,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Victor Pimentel,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000Of3IXIAZ"", ""Sudoeste #GCP #GeminiEnterprise"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00002GHVv4QAH"", ""OURIBANK S.A. BANCO MULTIPLO"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eTJkOAM"", ""Ouribank_GE_Fase2_#Febraban2026"")","$72,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-28,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Renata Taglianetti,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OsDS5IAN"", ""Ouribank_GE_Fase2_#Febraban2026"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hjoZMQAY"", ""CIBRAFERTIL - COMPANHIA BRASILEIRA DE FERTILIZANTES"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000009eMKMOA2"", ""Cibra_GE"")","$54,000.00",Stage 3 ➔ Stage 4.1,August,2026-08-28,3:  Proposal / Negotiation,4.1: Pre Ramp / Mobilize,4.1: Pre Ramp / Mobilize,Roberta Coelho,Build with AI,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OqKnFIAV"", ""Cibra_GE"")",0014M00001uFlbSQAS,Progressed
"=HYPERLINK(""https://vector.corp.google.com/account/0014M00001hUd6JQAS"", ""SINAGRO PRODUTOS AGROPECUARIOS SA"")","=HYPERLINK(""https://vector.corp.google.com/workload/aBJKf000004ZAg6OAG"", ""Sinova - Dados"")","$60,000.00",Stage 0-2 ➔ Stage 3,August,2026-08-31,0-2: Tech Eval/Solution Dev,3:  Proposal / Negotiation,3:  Proposal / Negotiation,Renan Valadares,Analytics,"=HYPERLINK(""https://vector.corp.google.com/opportunity/006Kf00000OQSz5IAH"", ""Sinova #OUT #GCP #Gemini Enterprise #BR + Dados"")",0014M00001uFlbSQAS,Progressed
